"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"DEXI","Dexi",21.247039,24.598549,26.67484,316,712,725,24.173476,19.040386,22.396071,27.994334,329,512,625,0,25.173476
"DFFA","Dffa",16.386868,25.778051,18.564853,464,718,640,20.2432573333333,20.170679,18.847256,16.126321,1050,1285,1410,0.951714666666667,10.8844072835783
"DFFB","Dffb",3.889047,2.052597,1.369037,56,63,65,2.43689366666667,3.68879,6.498084,4.753858,100,207,175,1.55110966666667,1.34721517917236
"DGAT1","Dgat1",13.939523,13.348451,13.71307,137,245,278,13.6670146666667,24.528195,23.413295,25.401963,351,439,506,4.696536,2.57472517801462
"DGAT2","Dgat2",25.722094,22.258625,23.568555,588,1089,946,23.849758,3.756748,3.277146,4.351144,137,142,175,8.34134666666667,2.6601901082071
"DGAT2L6","Dgat2l6",0.095177,0.051596,0.02544,6,4,3,0.0574043333333333,0,0,0,0,0,0,0.247465,0.847642485627519
"DGCR2","Dgcr2",27.068359,20.758779,20.612818,1615,2181,2042,22.8133186666667,43.828371,43.490339,34.673825,1887,2766,2468,13.981295,1.58953673008019
"DGCR6","Dgcr6",41.226334,46.168295,53.640512,377,797,930,47.0117136666667,35.516814,38.700792,33.347243,585,833,825,1.88076566666667,16.6663030673442
"DGCR8","Dgcr8",26.74028,20.007341,17.450649,452,540,547,21.3994233333333,19.981333,16.336952,11.307901,504,758,587,1040.54747,0.0215059072951647
"DGKA","Dgka",2.713808,2.218011,2.109051,112,163,158,2.34695666666667,76.639149,59.953172,86.395308,377,359,431,39.2285206666667,0.0831986016686901
"DGKB","Dgkb",28.586138,13.672024,9.348106,2595,2084,1396,17.2020893333333,7.117693,2.662072,2.633356,494,363,264,19.455539,0.889836700628291
"DGKD","Dgkd",23.427236,16.71013,12.236741,1289,1642,1402,17.4580356666667,138.205658,111.947263,126.627262,1376,2456,2933,0.231000666666667,14.9943344195319
"DGKE","Dgke",14.582121,7.445562,6.37081,1341,1205,1050,9.46616433333333,2.628382,3.236158,3.076363,330,572,539,11.8281216666667,0.815876603394651
"DGKG","Dgkg",17.024955,6.284867,6.099183,878,583,563,9.80300166666667,0.528809,4.012795,1.270787,24,36,35,29.2539306666667,0.357077623588569
"DGKH","Dgkh",8.477824,0.940032,1.181591,1915,375,437,3.533149,1.146039,0.970137,1.01099,236,317,368,26.6942306666667,0.163685680767301
"DGKI","Dgki",8.588563,2.484341,2.307581,489,179,222,4.46016166666667,6.084648,4.511216,5.254738,989,962,1140,7.18195533333333,0.667341905964939
"DGKQ","Dgkq",14.060827,9.977317,9.124827,454,648,645,11.0543236666667,14.185833,16.566854,13.042592,538,720,773,35.8896463333333,0.32676712478467
"DGKZ","Dgkz",231.860834,169.645212,163.068624,4404,6563,5650,188.191556666667,73.493346,91.063785,77.962491,910,1350,1392,0.654340666666667,114.360699992867
"DGLUCY","Dglucy",4.748034,6.244807,4.573118,76,176,169,5.188653,28.561426,28.902989,20.989345,669,836,733,15.1729993333333,0.382653388678802
"DGUOK","Dguok",18.915513,28.654726,26.270017,103,205,210,24.6134186666667,50.61108,50.529765,48.309061,546,799,789,19.406397,1.25516614553106
"DHCR24","Dhcr24",23.167598,17.88158,17.355118,1397,1980,1952,19.4680986666667,75.109858,38.646256,34.704972,4255,3088,3343,22.1924146666667,0.882534180284577
"DHCR7","Dhcr7",83.355994,73.467319,70.364459,388,634,689,75.7292573333333,78.851847,53.279078,54.452031,1469,1330,1346,0.258991333333333,60.945024244276
"DHDDS","Dhdds",20.809596,19.709627,20.117973,790,1229,1164,20.2123986666667,35.040496,28.68849,24.032806,704,918,872,244.611121666667,0.0863657904524994
"DHDH","Dhdh",1.4029,0.883767,0.989134,115,127,140,1.09193366666667,1.393805,1.569524,2.365236,11,18,27,19.898771,0.100098406105635
"DHFR","Dhfr",0.561392,0.67147,0.745311,45,94,104,0.659391,7.887718,13.62404,11.126573,410,690,561,8.21403866666667,0.180093774297163
"DHH","Dhh",0.143293,0.018293,0.162175,2,2,5,0.107920333333333,1.283549,0.297028,0.80627,96,31,90,5.96899533333333,0.158978486903851
"DHODH","Dhodh",12.092782,21.702524,13.122923,146,451,390,15.6394096666667,4.762468,5.252052,5.021737,115,131,136,89.0371416666667,0.184806062905336
"DHPS","Dhps",75.017909,90.483443,89.813907,294,652,703,85.1050863333333,118.445229,104.17428,126.335892,605,825,906,9.12308233333333,8.50581705236221
"DHRS1","Dhrs1",48.873425,52.479368,55.777148,544,1190,1221,52.376647,12.384009,9.940379,10.585882,213,224,235,0.0309086666666667,51.7763102841959
"DHRS11","Dhrs11",2.100621,4.173358,3.625993,31,114,105,3.29999066666667,3.388787,3.607762,2.994186,90,127,126,87.440502,0.048620152186231
"DHRS13","Dhrs13",3.118425,4.522364,4.401224,63,174,176,4.01400433333333,15.824112,14.663512,16.012852,335,436,535,3.11861433333333,1.21740078762736
"DHRS3","Dhrs3",8.899303,8.625664,9.067095,147,260,281,8.86402066666667,8.122503,0.368282,2.206413,196,17,97,18.0952636666667,0.51656896908345
"DHRS4","Dhrs4",11.803176,12.734002,12.703633,94,204,216,12.4136036666667,3.978768,3.12207,3.276457,45,48,69,14.7772183333333,0.850188124628222
"DHRS7","Dhrs7",13.405832,15.758034,17.995365,201,433,516,15.7197436666667,75.209873,95.635538,90.827437,640,1045,1009,0,16.7197436666667
"DHRS7B","Dhrs7b",7.699951,9.809082,9.713932,182,398,387,9.07432166666667,8.556352,14.367841,10.103889,138,203,194,22.8218873333333,0.422901910570702
"DHRS7C","Dhrs7c",0,0,0,0,0,0,0,0,0,0,0,0,0,21.810885,0.0438387199795186
"DHRS9","Dhrs9",0.033593,0,0,2,0,0,0.0111976666666667,0.424809,0.033108,0.07801,7,2,5,438.234052666667,0.00230218413287292
"DHTKD1","Dhtkd1",1.199865,2.026223,1.577407,67,60,41,1.601165,30.597119,22.264017,15.398238,529,628,581,0.10934,2.34478608902591
"DHX15","Dhx15",34.720697,21.231376,20.249936,1258,1470,1240,25.4006696666667,60.186121,59.123234,48.905956,1340,1816,1589,6.652739,3.44983275486942
"DHX29","Dhx29",8.815365,3.812302,3.22091,394,454,409,5.282859,6.131102,6.900159,4.572361,412,570,456,5.00360933333333,1.04651363057823
"DHX30","Dhx30",110.575295,68.596709,76.057314,1250,1776,1672,85.0764393333333,37.048335,40.97408,28.543228,1472,2178,1901,0.577685666666667,54.5586748691174
"DHX32","Dhx32",12.109647,14.648683,14.871262,330,669,642,13.8765306666667,7.349893,7.009941,6.372504,345,425,375,4.16874633333333,2.87817000627941
"DHX33","Dhx33",10.872271,6.216936,6.620736,551,497,460,7.90331433333333,3.862452,4.714497,3.108389,304,468,351,0,8.90331433333333
"DHX34","Dhx34",1.905905,1.355469,1.425685,90,135,136,1.562353,12.425035,5.927051,8.696134,339,367,378,55.2345006666667,0.0455654975081667
"DHX36","Dhx36",19.502961,18.249637,12.508498,1371,1818,1599,16.7536986666667,86.068355,97.06233,84.20646,1725,2451,2232,21.735563,0.780877898940381
"DHX40","Dhx40",9.33996,6.23018,8.322797,378,595,580,7.96431233333333,16.790017,17.541504,15.97248,738,909,854,1.718178,3.29791217989894
"DHX57","Dhx57",8.474089,3.477011,3.373699,571,446,436,5.10826633333333,26.613518,19.079615,20.816831,719,876,817,1.55969833333333,2.38632273724964
"DHX58","Dhx58",0.973322,0.735825,0.725616,14,19,31,0.811587666666667,0.924772,1.48951,1.241305,9,20,28,1.70061566666667,0.670805434859483
"DHX8","Dhx8",8.637157,5.191657,4.844843,569,531,509,6.22455233333333,73.070448,45.153064,28.067516,591,842,655,1.59957366666667,2.77912968036682
"DHX9","Dhx9",42.403721,11.052607,10.311846,2256,1177,1051,21.256058,96.72273,96.414812,69.02343,2540,3850,3079,0.197741333333333,18.581689869599
"DIABLO","Diablo",19.191821,22.565031,17.387725,268,495,465,19.714859,45.371212,44.522795,37.923516,649,816,788,341.101808666667,0.060551737743614
"DIAPH1","Diaph1",15.286801,9.753184,7.848817,837,804,782,10.962934,18.469105,21.08151,17.608667,802,1087,1023,41.4687193333333,0.281688126880021
"DIAPH2","Diaph2",3.863138,0.911553,0.988297,477,192,197,1.920996,0.30582,0.471816,0.309229,43,92,63,2.06589433333333,0.95273864080769
"DIAPH3","Diaph3",0.576782,0.886976,1.146019,18,27,20,0.869925666666667,0.368591,0.081756,0.136737,17,4,7,13.1709233333333,0.131955104313363
"DICER1","Dicer1",7.438743,1.374408,1.45049,845,283,356,3.42121366666667,18.680813,14.902699,13.96542,1553,1978,1803,0,4.42121366666667
"DIDO1","Dido1",7.874883,3.710215,3.422771,857,624,627,5.002623,8.817161,9.364211,5.754488,926,1501,1013,46.784069,0.125619754148605
"DIMT1","Dimt1",7.693974,5.201368,6.217868,128,192,187,6.37107,8.22724,7.802355,6.739075,97,139,139,3.99893433333333,1.47452827112552
"DIO1","Dio1",0,0,0,0,0,0,0,0.082894,0.133395,0,2,2,0,0.200660333333333,0.832875020717766
"DIO2","Dio2",15.805492,9.209663,7.219321,1411,1428,1111,10.7448253333333,0.212826,0.315161,0.148169,9,10,8,2.393037,3.46144923657871
"DIO3","Dio3",1.556269,0.814324,0.583384,44,43,29,0.984659,0.590438,0.832167,0.740731,19,37,35,1.40151333333333,0.8264201461856
"DIP2A","Dip2a",29.68366,10.170526,13.850631,1316,1037,1163,17.9016056666667,12.183399,9.401754,7.884701,669,754,659,3.08992233333333,4.62150723807551
"DIP2B","Dip2b",10.419747,3.109657,2.769578,1313,581,671,5.432994,9.129091,9.262514,7.92719,1302,1811,1557,1.83376066666667,2.27012608216031
"DIPK1A","Dipk1a",22.206138,20.702515,24.727214,329,578,657,22.545289,11.209009,11.780813,10.941833,439,585,574,29.7297026666667,0.766206209523147
"DIPK1B","Dipk1b",22.168328,34.052205,34.851807,445,1326,1387,30.3574466666667,20.754381,21.25369,22.637311,746,1061,1227,0.157036333333333,27.1015228850491
"DIPK1C","Dipk1c",2.066688,1.765162,1.93425,39,86,109,1.92203333333333,0.017453,0,0,1,0,0,7.48890566666667,0.344217906061468
"DIPK2A","Dipk2a",9.313053,7.122026,5.182917,506,693,494,7.20599866666667,2.619046,0.500506,0.707666,106,33,52,0.684996333333333,4.87003947980896
"DIPK2B","Dipk2b",0.229379,0.1852,0.209912,12,17,17,0.208163666666667,0.091149,0.113593,0.095145,7,11,9,6.862773,0.153656180417095
"DIRAS1","Diras1",29.63711,22.342932,26.590148,1257,1783,1923,26.1900633333333,20.951205,15.653061,17.760072,1118,1152,1321,23.3112226666667,1.11841612024778
"DIRAS2","Diras2",54.275202,25.259988,24.169254,3875,3249,3150,34.568148,18.259104,36.08524,26.916614,1161,3123,2407,29.454999,1.16789194443907
"DIS3","Dis3",4.291344,3.315051,3.549083,167,243,238,3.71849266666667,7.888089,10.145042,7.764413,583,981,819,3.552261,1.03651628644901
"DIS3L","Dis3l",8.143415,7.49545,7.080473,375,630,611,7.57311266666667,14.326176,10.06566,6.893708,338,272,278,0.291564,6.63777611226905
"DIS3L2","Dis3l2",6.650204,4.984822,4.873077,315,413,410,5.502701,14.890764,20.513438,13.843117,366,605,491,2.22217566666667,2.01810877888201
"DISC1","Disc1",0.229642,0.121923,0.1278,8,7,10,0.159788333333333,1.000311,0.991987,0.924894,105,118,101,146.170454333333,0.0078805786024583
"DISP1","Disp1",1.370755,1.042303,0.903161,67,72,61,1.10540633333333,15.557815,7.704186,5.864177,169,189,168,1.13789633333333,0.984802817847887
"DISP2","Disp2",64.774017,16.284555,20.979538,6507,2931,3834,34.0127033333333,44.219469,40.999194,34.735807,1585,2346,2095,102.634937333333,0.337846523906488
"DISP3","Disp3",9.713747,4.956254,4.577398,497,293,359,6.41579966666667,0.998838,1.16866,0.919633,80,103,91,0.405447333333333,5.27646927123084
"DIXDC1","Dixdc1",32.67829,20.470161,16.942834,1449,1418,1294,23.3637616666667,14.786895,18.065814,16.05307,1057,1612,1542,1.82475233333333,8.62509657188825
"DKC1","Dkc1",22.135345,21.439937,18.465937,344,495,416,20.6804063333333,22.926054,27.199442,19.07556,316,444,415,7.400758,2.58076787039138
"DKK1","Dkk1",0.046325,0,0.032298,2,0,2,0.0262076666666667,1.001278,1.110126,2.071873,10,21,23,3.06894433333333,0.252204892128859
"DKK2","Dkk2",0.360668,0.153193,0.13415,20,15,13,0.216003666666667,3.819396,2.493696,1.496232,178,145,73,578.119708,0.0020997449229731
"DKK3","Dkk3",63.697921,50.576606,45.719229,3185,4537,4137,53.331252,295.374322,227.715443,250.196012,5913,6283,7275,12.5481193333333,4.01024309450281
"DKK4","Dkk4",0,0,0,0,0,0,0,0,0,0.12379,0,0,2,22.1264446666667,0.0432405419169922
"DKKL1","Dkkl1",7.20297,11.233243,9.90882,85,221,183,9.44834433333333,0,0.100155,0,0,1,0,12.7439676666667,0.760213104886282
"DLAT","Dlat",46.572047,36.902323,35.552148,1327,1842,1688,39.675506,24.47746,19.42195,19.0652,1138,1423,1359,6.64649833333333,5.31949452243827
"DLC1","Dlc1",13.558691,5.28983,5.072782,1078,827,833,7.97376766666667,33.39797,14.962675,16.19984,1548,1079,1186,3.562179,1.96699157719736
"DLD","Dld",60.109519,48.432428,50.558617,1593,2486,2227,53.0335213333333,60.166786,58.822874,44.958926,1195,1518,1342,7.86601966666667,6.0944508770358
"DLEC1","Dlec1",1.876632,0.788748,0.422302,29,34,37,1.02922733333333,0.405461,0.516119,0.329141,12,21,22,2.01279033333333,0.673537521307767
"DLEU7","Dleu7",4.690395,4.746358,4.060381,73,131,111,4.49904466666667,5.066931,4.090044,6.114668,90,103,168,8.111511,0.603527193971084
"DLG1","Dlg1",59.871986,37.089517,34.725997,2414,2559,2275,43.8958333333333,82.183257,116.11615,97.898752,862,1038,1010,23.1882893333333,1.8560979122845
"DLG2","Dlg2",111.324554,48.351309,47.473492,5808,4849,4336,69.049785,8.818076,6.962281,7.583413,570,541,660,7.71493,8.0379056400912
"DLG3","Dlg3",63.005999,39.662447,35.388228,2669,2558,2210,46.0188913333333,24.812064,23.643919,20.634359,1102,1467,1300,0.0830743333333333,43.4124324492348
"DLG4","Dlg4",530.265589,423.529481,429.98758,7577,10455,9811,461.260883333333,94.722802,91.340698,87.933343,2356,3103,3681,1.23125433333333,207.175343674403
"DLG5","Dlg5",13.235213,4.968526,3.875914,588,351,351,7.35988433333333,49.075696,56.777687,37.221106,2417,2682,1993,2.50022533333333,2.38838461447625
"DLGAP1","Dlgap1",84.906058,38.887375,36.516542,6462,4683,4309,53.4366583333333,27.615975,28.547104,31.505309,535,921,859,89.978723,0.598344937566703
"DLGAP2","Dlgap2",12.388654,3.569024,3.4626,715,359,381,6.473426,5.074839,2.599109,3.230402,631,580,722,87.8946916666667,0.0840705542691291
"DLGAP3","Dlgap3",61.854326,37.099255,35.740067,2838,3223,3226,44.8978826666667,13.762108,20.09694,13.197942,508,898,943,0.547254333333333,29.6640840990805
"DLGAP4","Dlgap4",123.257613,56.841796,50.664637,3162,2485,2530,76.9213486666667,122.430166,124.140363,102.085366,2434,3207,3339,0.273558666666667,61.1839491231395
"DLGAP5","Dlgap5",0.314018,0.168493,0.221939,2,4,5,0.234816666666667,0.311796,0,0,9,0,0,2.777001,0.326930457965636
"DLK1","Dlk1",10.939028,4.498688,8.780684,457,343,578,8.0728,13.384616,3.366615,3.869095,298,108,153,83.1559096666667,0.107809422248972
"DLK2","Dlk2",9.010662,9.594445,7.292937,174,320,262,8.63268133333333,4.180518,5.621179,6.965022,81,149,185,19.7333296666667,0.464598860298834
"DLL1","Dll1",4.500913,2.298024,2.503375,84,86,88,3.10077066666667,1.810617,1.740579,1.739311,75,142,155,4.61920466666667,0.729777772821231
"DLL3","Dll3",1.05176,1.280994,1.032271,16,29,28,1.121675,8.934285,9.965149,17.676788,238,374,621,19.700978,0.102491534457937
"DLL4","Dll4",0.703847,0.456369,0.382974,31,47,40,0.514396666666667,0.873387,1.102205,0.785548,46,63,58,39.895574,0.0370308206620762
"DLST","Dlst",69.256261,58.131184,57.7789,1516,2567,2466,61.722115,42.177972,39.430334,31.304935,1245,1604,1487,11.8497263333333,4.88120239862955
"DLX1","Dlx1",10.009232,7.17137,5.265287,268,340,275,7.481963,2.646651,0.050816,0.023994,56,2,1,10.222021,0.755832037740796
"DLX2","Dlx2",0.922116,0.76006,0.845645,30,49,56,0.842607,0.506053,0.053945,0.017827,18,2,1,3.26452133333333,0.432078269980124
"DLX3","Dlx3",0,0.043505,0.028419,0,3,2,0.0239746666666667,0,0.231423,0.067251,0,5,4,42.2237136666667,0.0236901131301066
"DLX4","Dlx4",0.093895,0.050241,0.090737,3,3,5,0.078291,0.050434,0,0.022356,1,0,1,5.99300433333333,0.154195671645754
"DLX5","Dlx5",1.77162,1.610033,1.048497,31,56,37,1.47671666666667,0,0,0,0,0,0,4.14062333333333,0.481793064005857
"DLX6","Dlx6",5.300287,4.319476,3.011038,56,98,63,4.210267,0.057844,0,0.019487,2,0,1,10.5838836666667,0.449785853339745
"DMAC1","Dmac1",17.740297,21.193652,25.454333,139,302,369,21.4627606666667,62.898776,67.341037,67.195897,558,949,789,222.297601666667,0.100595619921608
"DMAC2","Dmac2",32.272865,39.101192,42.214369,382,809,783,37.8628086666667,30.286892,30.265258,35.934865,475,724,826,63.0820493333333,0.606453898883841
"DMAC2L","Dmac2l",23.922528,29.703075,32.19956,191,358,351,28.6083876666667,9.565245,9.93341,9.924895,179,261,217,2.26261066666667,9.0750600337235
"DMAP1","Dmap1",11.337565,11.807675,13.967994,214,436,488,12.371078,38.701122,44.601217,35.857455,552,779,623,47.6942303333333,0.274592655196912
"DMBT1","Dmbt1",0.011222,0.00578,0.021301,1,1,1,0.0127676666666667,0.504283,0.170177,0.19576,7,4,4,2.761336,0.269257430515824
"DMBX1","Dmbx1",0.165928,0.100861,0.108173,10,11,12,0.124987333333333,0.31461,0.055449,0.058063,26,5,7,13.3501886666667,0.0783952991465896
"DMC1","Dmc1",0.124153,0.16848,0.063929,1,6,3,0.118854,0.361471,0.125715,1.462721,5,4,6,4.80865766666667,0.192618340450774
"DMD","Dmd",15.995212,7.506941,5.790058,867,539,511,9.76407033333333,4.358749,2.729441,2.582014,219,151,118,3.58530466666667,2.34751474892908
"DMGDH","Dmgdh",0.270925,0.142358,0.226904,12,11,18,0.213395666666667,2.512281,2.159634,3.364921,80,44,113,0.185724,1.02333735900316
"DMKN","Dmkn",1.166279,2.321697,1.646287,9,32,26,1.711421,6.630919,6.950741,9.993499,33,49,71,17.0182533333333,0.150481900206383
"DMP1","Dmp1",1.982717,1.143211,1.250205,80,83,91,1.458711,0,0,0.016917,0,0,1,48.2762746666667,0.0498964464467363
"DMPK","Dmpk",12.958601,9.459497,4.592859,121,122,124,9.00365233333333,63.772017,72.377545,57.54424,741,1091,1054,6.712697,1.29703686445005
"DMRT1","Dmrt1",0,0,0,0,0,0,0,0.100781,0.0738,0.114129,3,3,5,14.6660793333333,0.0638321802617366
"DMRT2","Dmrt2",0.225664,0.276356,0.185123,7,16,11,0.229047666666667,0.293874,0.18861,0.319232,6,5,12,0.0436323333333333,1.17766346194078
"DMRT3","Dmrt3",0.205943,0.124398,0.17105,6,7,10,0.167130333333333,2.60756,0.777604,0.736277,92,38,41,6.62506733333333,0.15306492156878
"DMRTA1","Dmrta1",0.177555,0.302203,0.099227,2,11,7,0.192995,0.138913,0.050941,0.072281,12,6,9,36.9706606666667,0.0314188633817292
"DMRTA2","Dmrta2",0.442591,0.321541,0.363364,12,19,23,0.375832,0,0.0396,0,0,2,0,0.270995333333333,1.08248391155908
"DMRTB1","Dmrtb1",0.4223,0.581716,0.616018,5,15,20,0.540011333333333,0,0,0,0,0,0,2.26825133333333,0.471203459056698
"DMRTC2","Dmrtc2",0.046298,0,0,1,0,0,0.0154326666666667,0.040245,0,0.027658,1,0,1,8.26272866666667,0.109625651706808
"DMTF1","Dmtf1",54.052505,37.398041,26.770431,675,652,546,39.4069923333333,209.941999,137.774953,123.104771,1176,1641,1455,0.426938333333333,28.3172659879018
"DMTN","Dmtn",123.384768,89.092918,77.438626,3202,4395,3998,96.6387706666667,44.151606,35.028024,36.094497,1252,1447,1563,14.2395103333333,6.40694933964523
"DMWD","Dmwd",44.371256,40.037565,33.580686,1055,1784,1622,39.3298356666667,35.700173,30.224218,25.991062,748,913,816,25.6450813333333,1.51359401617639
"DMXL1","Dmxl1",111.987798,2.494211,25.725505,1321,702,658,46.735838,13.282766,12.201026,13.669298,418,501,485,14.2133026666667,3.13776955904469
"DMXL2","Dmxl2",44.681229,13.519398,12.94641,3960,2041,1993,23.715679,94.982167,95.750134,95.32135,1278,1706,1688,14.961012,1.54850325280126
"DNA2","Dna2",0.468081,0.258378,0.246593,23,15,21,0.324350666666667,4.054364,3.227014,3.762565,118,158,140,7.843653,0.149751541208895
"DNAAF1","Dnaaf1",0.097125,0.1084,0.078245,4,8,6,0.09459,1.214398,1.068938,1.397114,49,73,95,35.0052773333333,0.0304008212425749
"DNAAF2","Dnaaf2",0.326349,0.417721,0.414165,14,35,36,0.386078333333333,4.32576,5.757414,3.509961,173,322,228,13.072963,0.0984922886056997
"DNAAF3","Dnaaf3",0.159124,0.461497,0.437937,5,27,26,0.352852666666667,1.182699,0.32823,0.701866,8,8,7,0.528553,0.885054470905926
"DNAAF4","Dnaaf4",1.055086,1.291111,0.729351,25,58,35,1.02518266666667,3.147214,2.332748,1.235476,38,67,39,0.213832666666667,1.66841997441712
"DNAAF5","Dnaaf5",1.983707,0.796526,1.350667,57,69,84,1.37696666666667,17.165106,9.991137,16.489956,148,197,219,4.594359,0.424886330438691
"DNAH1","Dnah1",2.360355,1.238974,1.317152,151,148,161,1.638827,1.389026,1.437024,2.147151,125,175,159,77.076242,0.0337980790622582
"DNAH12","Dnah12",0.036918,0.039602,0.097767,7,13,4,0.0580956666666667,0.601997,0.299454,0.425493,13,11,12,47.1253493333333,0.0219862438678194
"DNAH17","Dnah17",0.305474,0.071337,0.147486,23,6,14,0.174765666666667,6.012288,2.698266,2.210595,54,66,69,22.9966016666667,0.0489555014074562
"DNAH2","Dnah2",0.452188,0.293458,0.151529,50,29,29,0.299058333333333,0.288818,0.198938,0.263104,21,23,26,8.101934,0.142723330374988
"DNAH3","Dnah3",0.165186,0.076778,0.040578,15,12,13,0.0941806666666667,0.298437,0.410226,0.112576,12,5,6,12.0483933333333,0.083855585796259
"DNAH5","Dnah5",0.434994,0.061994,0.070552,108,27,31,0.18918,0.095971,0.170919,0.13113,22,16,13,10.2823226666667,0.105402055510556
"DNAH8","Dnah8",0.691337,0.207893,0.058051,12,7,10,0.319093666666667,0.004582,0,0.003186,1,0,1,15.0183513333333,0.0823489034056647
"DNAJA1","Dnaja1",146.031432,140.991395,122.78266,3804,6109,5171,136.601829,205.969253,243.349932,216.064781,5353,8821,7744,37.637747,3.56133159109924
"DNAJA2","Dnaja2",99.758863,105.87865,93.104141,2498,4186,3630,99.5805513333333,34.421899,36.165718,33.052016,1196,1719,1700,5.56824866666667,15.3131460816597
"DNAJA3","Dnaja3",20.239319,23.26195,23.548818,740,1524,1515,22.350029,37.577183,48.678828,33.458954,496,704,676,6.29261933333333,3.20187136236098
"DNAJA4","Dnaja4",15.213586,14.107968,11.840205,614,1036,852,13.7205863333333,17.144583,18.054379,14.208503,646,906,758,1.90155966666667,5.0733357312774
"DNAJB1","Dnajb1",12.066175,12.399857,10.993821,517,978,875,11.819951,25.856495,20.202822,23.235527,754,887,928,269.444482666667,0.0474032632264903
"DNAJB11","Dnajb11",38.232207,26.377121,21.217375,649,941,823,28.608901,26.160786,27.10144,25.304554,609,823,864,27.2338076666667,1.04870378623981
"DNAJB12","Dnajb12",13.792645,12.76393,10.780424,533,821,732,12.4456663333333,9.009885,10.360284,7.383549,364,528,424,4.46990166666667,2.45811847318401
"DNAJB13","Dnajb13",0.494164,0.524459,0.575259,8,18,17,0.531294,0.654344,0.459611,0.78011,8,8,14,1.46021,0.622424102007552
"DNAJB14","Dnajb14",14.890457,3.850298,3.752919,2161,975,936,7.49789133333333,6.790202,5.142632,4.405412,596,555,517,0.602544666666667,5.30274850373385
"DNAJB2","Dnajb2",45.502565,41.133172,44.659917,1088,1874,1978,43.765218,76.453459,101.327633,86.419273,1524,2543,2380,28.635324,1.51053580517628
"DNAJB4","Dnajb4",28.082811,18.457726,15.353891,822,991,805,20.631476,13.54025,18.693639,17.772481,310,585,549,13.916935,1.45012872952788
"DNAJB5","Dnajb5",77.195712,49.457181,34.033717,1692,1972,1398,53.5622033333333,40.200766,48.823221,33.877182,1483,2143,1911,21.874517,2.38528329727501
"DNAJB6","Dnajb6",74.271927,75.276854,74.087591,1634,2478,2132,74.5454573333333,98.466248,93.758324,76.745048,1801,2319,2017,1.12584766666667,35.5366278204632
"DNAJB7","Dnajb7",0,0,0,0,0,0,0,0.303119,0.354356,0.23157,12,19,13,21.7630873333333,0.043930772015079
"DNAJB8","Dnajb8",0,0.046138,0.083222,0,1,1,0.04312,0.051823,0.013405,0,2,1,0,14.1854026666667,0.0686922844851354
"DNAJB9","Dnajb9",17.009101,16.764298,14.899202,588,1010,847,16.2242003333333,17.910314,23.987687,25.091496,627,720,697,15.704415,1.0311166439132
"DNAJC1","Dnajc1",7.727799,4.823037,4.545157,273,282,268,5.69866433333333,2.666055,2.015934,4.474445,80,83,121,2.466028,1.93266307523578
"DNAJC10","Dnajc10",26.868253,31.382048,24.42944,1185,2246,2024,27.5599136666667,32.175006,29.044464,24.50809,1745,1978,1900,80.2938893333333,0.351316856665094
"DNAJC11","Dnajc11",33.629854,29.281641,27.031275,698,990,1008,29.9809233333333,31.665668,31.116295,23.33869,744,1031,881,12.5556253333333,2.28546618628881
"DNAJC12","Dnajc12",10.37443,16.827071,17.616792,134,342,341,14.939431,63.298794,60.031897,65.1557,812,1062,1201,53.465483,0.292651971891996
"DNAJC14","Dnajc14",18.694925,16.755677,13.607467,679,1103,1032,16.3526896666667,10.901068,10.886787,9.736025,463,648,691,20.9869933333333,0.789225220728982
"DNAJC15","Dnajc15",36.2669,38.554602,40.115338,934,1280,1287,38.31228,2.983877,2.445256,2.793676,215,351,294,16.5980813333333,2.23389580121651
"DNAJC16","Dnajc16",11.914911,5.709545,5.355758,1069,841,900,7.66007133333333,11.083827,17.104891,11.878085,442,705,582,19.7143316666667,0.418071481749472
"DNAJC17","Dnajc17",8.067845,7.49111,6.714093,60,125,127,7.42434933333333,16.714536,16.337381,10.771086,130,240,166,48.0853996666667,0.171626377508223
"DNAJC18","Dnajc18",22.73577,15.214265,15.99793,1422,1645,1568,17.982655,50.533382,41.602823,39.193842,1156,1613,1579,0.711195666666667,11.093211238068
"DNAJC19","Dnajc19",29.265267,30.386938,33.411592,148,256,267,31.0212656666667,55.794504,58.734687,47.833247,237,355,278,4.98146333333333,5.35341669457697
"DNAJC2","Dnajc2",12.605292,9.982746,10.245033,322,496,425,10.944357,11.83262,14.547739,12.037974,288,441,401,9.53972433333333,1.13327034201685
"DNAJC21","Dnajc21",13.082334,8.12985,7.343586,305,323,304,9.51859,22.48932,17.489093,18.447626,545,626,625,9.38898366666667,1.01247536212317
"DNAJC22","Dnajc22",0.094191,0.078248,0.077142,2,3,3,0.0831936666666667,8.810619,7.431937,14.106908,276,296,503,1.95193233333333,0.366943935142145
