"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"Irf1","IRF1",317,5.88461,380,6.51534,313,6.12135,6.17376666667,"IRF1",2.744378,2.344743,2.020966,91,102,28,2.370029,2.12869582625847
"Irf2","IRF2",774,1.11515,799,1.06325,712,1.08073,1.08637666667,"IRF2",20.410314,16.157585,21.717255,282,405,92,19.4283846666667,0.10213126004399
"Irf2bp1","IRF2BP1",445,25.2626,453,23.7526,416,24.8803,24.6318333333,"IRF2BP1",8.182307,6.657458,8.900586,456,561,154,7.91345033333333,2.87563540208952
"Irf2bp2","IRF2BP2",452,12.3273,464,11.688,394,11.3206,11.7786333333,"IRF2BP2",5.285628,5.853715,6.535565,510,861,195,5.891636,1.85422348674538
"Irf2bpl","IRF2BPL",1354,51.2819,1431,50.0587,1326,52.9094,51.4166666667,"IRF2BPL",5.382394,5.521736,6.688119,473,733,181,5.864083,7.63636842192905
"Irf3","IRF3",407,12.1458,401,11.0527,370,11.6326,11.6103666667,"IRF3",32.827826,27.728686,39.871537,365,452,141,33.4760163333333,0.365772151421903
"Irf4","IRF4",9,0.0786931,11,0.0888345,7,0.0644817,0.0773364333333,"IRF4",0.076164,0.076382,0.030251,8,12,1,0.0609323333333333,1.0154619663145
"Irf5","IRF5",559,5.69042,607,5.70711,532,5.70543,5.70098666667,"IRF5",1.968924,1.652287,1.352057,27,59,19,1.657756,2.52129490693277
"Irf6","IRF6",286,2.34705,284,2.15263,243,2.10091,2.20019666667,"IRF6",0.1113,0.335067,0.228222,10,13,5,0.224863,2.61269763775214
"Irf7","IRF7",109,4.48035,163,6.18824,129,5.58623,5.41827333333,"IRF7",2.782023,4.761148,6.604434,48,82,26,4.71586833333333,1.12288684046489
"Irf8","IRF8",19,0.145005,43,0.303105,24,0.192968,0.213692666667,"IRF8",1.636806,1.456967,1.343902,53,91,18,1.479225,0.489545187172201
"Irf9","IRF9",468,11.2442,483,10.7183,428,10.8336,10.9320333333,"IRF9",6.995723,4.391487,6.228962,249,271,75,5.87205733333333,1.73631166833009
"Irgc1","IRGC",9,0.0685552,5,0.0351773,10,0.0802494,0.0613273,"IRGC",0,0.017887,0,0,1,0,0.00596233333333333,1.05503681880733
"Irgm1","IRGM",236,3.77,225,3.31976,191,3.21445,3.43473666667,"IRGM",5.588362,3.659101,4.539875,250,247,64,4.59577933333333,0.792514572590961
"Irgq","IRGQ",4303,84.4116,4356,78.9248,3754,77.5834,80.3066,"IRGQ",12.185278,10.100479,10.818647,1658,2064,462,11.0348013333333,6.75595697411319
"Irs1","IRS1",232,0.617472,248,0.609643,258,0.723424,0.650179666667,"IRS1",1.940926,1.746487,1.99511,397,543,128,1.89417433333333,0.570172863348706
"Irs2","IRS2",1503,9.81072,1468,8.85039,1386,9.53123,9.39744666667,"IRS2",8.841474,7.748813,9.279585,1238,1652,405,8.62329066666667,1.08044607887454
"Irs4","IRS4",0,0,1,0.0100487,0,0,0.00334956666667,"IRS4",0.402795,0.352068,0.361328,57,76,16,0.372063666666667,0.731270414808256
"Irx3","IRX3",20,0.876145,23,0.930612,17,0.784583,0.86378,"IRX3",1.621638,2.017061,1.703359,87,161,28,1.780686,0.670259065568712
"Irx4","IRX4",1,0.0169999,0,0,0,0,0.00566663333333,"IRX4",0.137705,0.089823,0.062918,7,7,1,0.0968153333333333,0.916896949532066
"Irx5","IRX5",1,0.00831685,2,0.0153633,1,0.00876199,0.0108140466667,"IRX5",0.98072,0.93543,0.908968,42,62,12,0.941706,0.520580379659279
"Irx6","IRX6",19,0.442191,19,0.408418,12,0.294226,0.381611666667,"IRX6",0.095067,0.175218,0.11065,7,18,2,0.126978333333333,1.22594341506151
"Isca2","ISCA2",585,49.4,635,49.5268,538,47.8628,48.9298666667,"ISCA2",40.388687,34.912304,41.177806,428,564,153,38.8262656666667,1.25369189982805
"Isg15","ISG15",62,7.17061,97,10.3617,75,9.13839,8.89023333333,"ISG15",3.120397,1.487898,1.22952,32,23,4,1.94593833333333,3.35724384364122
"Isg20","ISG20",52,1.15745,74,1.52133,49,1.14905,1.27594333333,"ISG20",1.147586,0.411115,1.211199,18,8,4,0.9233,1.18335326435293
"Isg20l2","ISG20L2",286,4.27936,277,3.82813,247,3.89362,4.00037,"ISG20L2",3.381924,3.107013,3.202056,207,283,62,3.230331,1.18202807298058
"Isl1","ISL1",2466,33.5477,2632,33.0712,2223,31.8605,32.8264666667,"ISL1",2.664424,1.238596,2.519868,57,61,17,2.14096266666667,10.7694583656412
"Isl2","ISL2",3195,66.0398,3496,66.7423,3153,68.6598,67.1473,"ISL2",1.284932,1.780809,1.582038,39,58,17,1.54925966666667,26.7321924443685
"Islr","ISLR",675,2.18086,1049,3.13035,650,2.21249,2.5079,"ISLR",2.72913,0.962367,5.250508,118,64,71,2.98066833333333,0.881233930148246
"Islr2","ISLR2",174,3.36612,272,4.86009,172,3.50552,3.91057666667,"ISLR2",0.485397,0.226081,0.223577,26,31,6,0.311685,3.7437164156562
"Ism1","ISM1",91,0.175663,122,0.217517,74,0.150493,0.181224333333,"ISM1",0.936411,0.983742,0.944638,54,86,17,0.954930333333333,0.604228351871192
"Ism2","ISM2",18,0.132607,26,0.176914,25,0.194034,0.167851666667,"ISM2",0.339854,0.222026,0.268726,9,11,2,0.276868666666667,0.914621602952901
"Isoc1","ISOC1",1834,13.6178,1939,13.2978,1609,12.5866,13.1674,"ISOC1",12.638577,12.176424,13.225675,904,1313,296,12.6802253333333,1.03561159665109
"Isoc2a","ISOC2",403,3.15571,457,3.30524,337,2.78013,3.08036,"ISOC2",6.605693,6.949932,8.870186,308,488,131,7.47527033333333,0.481443050135156
"Ist1","IST1",2072,14.6605,2058,13.4493,1819,13.5593,13.8897,"IST1",25.455005,22.384395,18.933841,1531,1901,338,22.257747,0.640203885612824
"Isx","ISX",6,0.0457979,0,0,1,0.00804152,0.0179464733333,"ISX",0,0,0,0,0,0,0,1.0179464733333
"Isy1","ISY1-RAB43",528,3.34082,592,3.45968,463,3.08634,3.29561333333,"ISY1",43.425661,40.160326,26.659641,460,629,135,36.7485426666667,0.11379547473559
"Isy1","ISY1-RAB43",528,3.34082,592,3.45968,463,3.08634,3.29561333333,"ISY1-RAB43",43.425661,40.160326,26.659641,460,629,135,36.7485426666667,0.11379547473559
"Isy1","ISY1",528,3.34082,592,3.45968,463,3.08634,3.29561333333,"ISY1",43.425661,40.160326,26.659641,460,629,135,36.7485426666667,0.11379547473559
"Isy1","ISY1",528,3.34082,592,3.45968,463,3.08634,3.29561333333,"ISY1-RAB43",43.425661,40.160326,26.659641,460,629,135,36.7485426666667,0.11379547473559
"Isyna1","ISYNA1",401,21.3293,481,23.6304,384,21.5182,22.1593,"ISYNA1",23.594356,10.015179,27.287306,304,352,97,20.298947,1.08734483446529
"Itch","ITCH",2858,4.75203,2924,4.49044,2547,4.46159,4.56802,"ITCH",14.34128,13.360711,11.739406,1573,2197,409,13.1471323333333,0.393579410215927
"Itfg1","ITFG1",10064,12.664,10586,12.3034,9019,11.9564,12.3079333333,"ITFG1",65.912082,53.390657,61.535648,4494,5497,1310,60.2794623333333,0.217167919341568
"Itfg2","ITFG2",471,4.72001,474,4.38727,470,4.96208,4.68978666667,"ITFG2",41.764028,37.075397,47.175294,412,532,122,42.0049063333333,0.132305523992266
"Itga1","ITGA1",760,0.792367,782,0.753034,731,0.802923,0.782774666667,"ITGA1",1.450056,1.203953,0.977803,339,393,65,1.210604,0.806464960104569
"Itga11","ITGA11",140,0.20469,178,0.240372,146,0.224887,0.223316333333,"ITGA11",0.126247,0.101755,0.113861,12,17,4,0.113954333333333,1.09817458106421
"Itga2","ITGA2",160,0.250792,168,0.243219,161,0.265867,0.253292666667,"ITGA2",0.117103,0.049821,0.082964,18,11,4,0.083296,1.15692540789129
"Itga2b","ITGA2B",99,0.913211,93,0.792344,73,0.709419,0.804991333333,"ITGA2B",3.485683,3.687762,3.232962,48,52,7,3.46880233333333,0.403909414356807
"Itga3","ITGA3",2620,12.5788,2537,11.25,2387,12.0735,11.9674333333,"ITGA3",12.768606,12.265982,9.556418,843,1057,292,11.5303353333333,1.03488318455484
"Itga4","ITGA4",444,0.886932,435,0.802585,410,0.862849,0.850788666667,"ITGA4",1.089744,0.77855,1.087976,233,250,58,0.985423333333333,0.932188433365344
"Itga6","ITGA6",2263,3.11378,2577,3.27502,2198,3.18622,3.19167333333,"ITGA6",18.687014,13.283718,19.984961,1173,1250,382,17.3185643333333,0.228821061359194
"Itga8","ITGA8",31,0.0246375,44,0.0322985,38,0.0318172,0.0295844,"ITGA8",0.529141,0.962709,0.561162,49,49,13,0.684337333333333,0.611269713984451
"Itga9","ITGA9",1885,0.994071,1985,0.966855,1792,0.995607,0.985511,"ITGA9",5.06808,3.548009,2.135618,265,339,63,3.58390233333333,0.433148626566869
"Itgad","ITGAD",227,0.507372,282,0.582164,221,0.5204,0.536645333333,"ITGAD",2.595324,3.434479,0.669486,21,38,5,2.23309633333333,0.475285971992277
"Itgae","ITGAE",51,0.139203,39,0.0983194,40,0.115023,0.117515133333,"ITGAE",0.154047,0.182566,0.337082,13,23,9,0.224565,0.912581311186421
"Itgal","ITGAL",19,0.07585,42,0.154862,26,0.10935,0.113354,"ITGAL",0.034871,0.147445,0.14668,4,19,4,0.109665333333333,1.00332412535191
"Itgav","ITGAV",1173,2.20626,1122,1.94915,1214,2.40558,2.18699666667,"ITGAV",25.282047,33.536307,26.716692,1522,2922,415,28.511682,0.107991020866584
"Itgax","ITGAX",9,0.0661684,17,0.115439,9,0.0697099,0.0837724333333,"ITGAX",0.416797,0.062043,0.045434,5,8,1,0.174758,0.922549523674919
"Itgb1","ITGB1",9673,31.5759,9612,28.9803,8361,28.7539,29.7700333333,"ITGB1",25.209465,22.029406,24.240496,2001,2659,622,23.8264556666667,1.23940500192355
"Itgb1bp1","ITGB1BP1",18,0.429876,22,0.485275,20,0.503204,0.472785,"ITGB1BP1",22.528718,21.842128,30.080753,298,411,112,24.8171996666667,0.0570466595531488
"Itgb1bp2","ITGB1BP2",7,0.24393,6,0.193114,5,0.183561,0.206868333333,"ITGB1BP2",0.408426,0.428464,0.506681,9,14,3,0.447857,0.833554925198414
"Itgb2l","ITGB2",3,0.0218276,14,0.0940824,3,0.0229959,0.0463019666667,"ITGB2",0.034279,0.0583,0.10868,1,3,1,0.0670863333333333,0.980522319499953
"Itgb3","ITGB3",620,1.54024,596,1.36753,501,1.31123,1.40633333333,"ITGB3",0.713035,0.941038,0.752833,89,183,31,0.802302,1.33514435057499
"Itgb3","ITGB3",620,1.54024,596,1.36753,501,1.31123,1.40633333333,"",0.713035,0.941038,0.752833,89,183,31,0.802302,1.33514435057499
"Itgb3","AC068234.1",620,1.54024,596,1.36753,501,1.31123,1.40633333333,"ITGB3",0.713035,0.941038,0.752833,89,183,31,0.802302,1.33514435057499
"Itgb3","AC068234.1",620,1.54024,596,1.36753,501,1.31123,1.40633333333,"",0.713035,0.941038,0.752833,89,183,31,0.802302,1.33514435057499
