Mm_genes,Hs_genes
Krt6b,KRT6C
Krt18,KRT18
Csad,CSAD
Soat2,SOAT2
Igfbp6,IGFBP6
Amhr2,AMHR2
Prr13,PRR13
Map3k12,MAP3K12
Tarbp2,TARBP2
Npff,NPFF
Calcoco1,CALCOCO1
Fabp2,FABP2
Sncg,SNCG
Rttn,RTTN
Cdkn1a,CDKN1A
Nus1,NUS1
Rgn,RGN
Cep89,CEP89
Slc10a2,SLC10A2
Mospd1,MOSPD1
Akirin1,AKIRIN1
Cxcl13,CXCL13
Gtf2ird1,GTF2IRD1
H2.M10.2,None
Lrrc71,LRRC71
Noct,NOCT
Abcc1,ABCC1
Ndufa5,NDUFA5
Fhl1,FHL1
Pate12,None
Msrb2,MSRB2
Rfc2,RFC2
Denr,DENR
Prmt5,PRMT5
Sympk,SYMPK
Ldc1,None
Sult1c2,SULT1C2
Gzma,GZMA
Reg2,REG1B
Nagpa,NAGPA
Wrb,None
Ivns1abp,IVNS1ABP
Lrrc69,LRRC69
Tmem52,TMEM52
Rpp14,RPP14
Psg29,None
Ssxb2,None
Slc38a1,SLC38A1
Gps2,GPS2
Bsg,BSG
Cpn2,CPN2
Ceacam14,None
Vwa5a,VWA5A
P3h3,P3H3
Grm2,GRM2
Il15ra,IL15RA
Lcn9,LCN9
Epb42,EPB42
Serping1,SERPING1
Serinc2,SERINC2
Ccl25,CCL25
Scg5,SCG5
Kcnk5,None
Guca2a,GUCA2A
Parp3,PARP3
Cypt1,None
Slc26a6,SLC26A6
Acy1,ACY1
X9530002B09Rik,None
Frs3,FRS3
Gabrr2,GABRR2
Creld2,CRELD2
Cd4,CD4
Twf2,TWF2
Bmp15,BMP15
Zfp605,None
Ube2j2,UBE2J2
Sva,None
March5,None
Ache,ACHE
Dtwd1,DTWD1
Gcm1,GCM1
Wfdc1,WFDC1
Poc1a,POC1A
Trip6,TRIP6
Clec4n,None
Phf8.ps,None
Agap3,AGAP3
Tmem176a,TMEM176A
Kcnk16,None
Dlx2,DLX2
Slc17a9,SLC17A9
Stk31,STK31
Nfatc4,NFATC4
Cela3b,CELA3B
Gnb3,GNB3
Esx1,None
Pisd,PISD
Tpi1,TPI1
Rab12,RAB12
Tulp2,TULP2
Celsr3,CELSR3
Prph,PRPH
Pcbp4,PCBP4
Cdca3,CDCA3
C1qtnf12,C1QTNF12
Ccndbp1,CCNDBP1
Ogfod2,OGFOD2
Mrps23,MRPS23
Rhebl1,RHEBL1
Sfi1,SFI1
Hes7,HES7
Pigx,PIGX
Tiam2,TIAM2
Nox3,NOX3
Synj2,SYNJ2
Rsph3b,RSPH3
Rps6ka2,RPS6KA2
Prkn,PRKN
Agpat4,AGPAT4
Slc22a3,SLC22A3
Slc22a1,SLC22A1
Igf2r,IGF2R
Acat2,ACAT2
Lnpep,LNPEP
Chd1,CHD1
Mpc1,MPC1
Pde10a,PDE10A
X1700010I14Rik,None
Zfp54,None
Phf10,PHF10
Thbs2,THBS2
Smoc2,SMOC2
Zfp51,None
Zscan10,ZSCAN10
Mmp25,MMP25
Hcfc1r1,HCFC1R1
Tnfrsf12a,TNFRSF12A
Cldn6,CLDN6
Pkmyt1,PKMYT1
Paqr4,PAQR4
Flywch2,FLYWCH2
Slc25a27,None
Pla2g7,PLA2G7
Mep1a,MEP1A
Tnfrsf21,TNFRSF21
Adgrf4,ADGRF4
Cenpq,CENPQ
Mmut,MMUT
Tbc1d5,TBC1D5
Rhag,RHAG
Satb1,SATB1
Crisp2,CRISP2
Efhb,EFHB
Cdc5l,CDC5L
Spats1,SPATS1
Aars2,AARS2
Mrpl14,MRPL14
Sgo1,SGO1
Slc29a1,SLC29A1
Sult1c1,SULT1C4
Hsp90ab1,HSP90AB1
Slc5a7,SLC5A7
Nfkbie,NFKBIE
Tcte1,TCTE1
Vegfa,VEGFA
Gtpbp2,GTPBP2
Polh,POLH
Clic5,CLIC5
Enpp5,ENPP5
Enpp4,ENPP4
Cyp39a1,CYP39A1
Calcr,CALCR
Fbxl17,FBXL17
Rsph9,RSPH9
Mrps18a,MRPS18A
Crip3,CRIP3
Rrp36,RRP36
Ptk7,PTK7
Cnpy3,CNPY3
Ubr2,UBR2
Prph2,PRPH2
Guca1b,GUCA1B
Taf8,TAF8
Guca1a,GUCA1A
Gm20517,None
Pgc,PGC
Bysl,BYSL
Tfeb,TFEB
Foxp4,FOXP4
Trem2,TREM2
Treml1,TREML1
Nfya,NFYA
Tspo2,TSPO2
Kif6,None
Brd4,BRD4
Stk38,STK38
Ppil1,PPIL1
Cpne5,CPNE5
Pi16,PI16
Mtch1,MTCH1
Fgd2,FGD2
Pim1,PIM1
Ccdc167,CCDC167
Cmtr1,CMTR1
Glo1,GLO1
Glp1r,GLP1R
Tff2,TFF2
Tff3,TFF3
Abcg1,ABCG1
Tff1,TFF1
Rsph1,RSPH1
Tmprss3,TMPRSS3
Slc37a1,SLC37A1
Wdr4,WDR4
Ndufv3,NDUFV3
Cbs,CBSL
Cryaa,CRYAA2
Sik1,SIK1
Arhgap28,ARHGAP28
Epb41l3,EPB41L3
Akap8,AKAP8
Myl12a,None
Myom1,MYOM1
Wiz,WIZ
Lpin2,LPIN2
Emilin2,EMILIN2
Smchd1,SMCHD1
Cyp4f13,None
Ndc80,NDC80
Clip4,CLIP4
Lbh,LBH
Galnt14,GALNT14
Ehd3,EHD3
Xdh,XDH
Dpy30,DPY30
Spast,SPAST
Slc30a6,SLC30A6
Prkd3,PRKD3
Yipf4,YIPF4
Birc6,BIRC6
Crim1,CRIM1
Vit,VIT
Strn,STRN
Ttc27,TTC27
Eif2ak2,EIF2AK2
Cebpz,CEBPZ
Ndufaf7,NDUFAF7
Pja2,PJA2
Qpct,QPCT
Man2a1,MAN2A1
Cyp1b1,CYP1B1
X4930583I09Rik,None
Vapa,VAPA
Hnrnpll,HNRNPLL
Ralbp1,RALBP1
Srsf7,SRSF7
Twsg1,TWSG1
Ndufv2,NDUFV2
Washc1,WASHC1
Washc2,WASHC2C
Themis3,THEMIS3P
Lhcgr,LHCGR
Nrxn1,NRXN1
Cacna1h,CACNA1H
Prss41,PRSS41
Prss21,PRSS21
Tedc2,TEDC2
Lrpprc,LRPPRC
Atp6v0c,ATP6V0C
Pdpk1,PDPK1
Prss30,PRSS30P
Sbpl,None
Prepl,PREPL
Sbp,None
Abca3,ABCA3
Slc3a1,SLC3A1
Eci1,ECI1
Six2,SIX2
Srbd1,SRBD1
Dnase1l2,DNASE1L2
E4f1,E4F1
Epas1,EPAS1
Mlst8,MLST8
Rhoq,RHOQ
Pigf,PIGF
Cript,CRIPT
Mcfd2,MCFD2
Msh2,MSH2
Gtf2a1l,GTF2A1L
Meiob,MEIOB
Hagh,HAGH
Spsb3,SPSB3
Mapk8ip3,MAPK8IP3
C3,C3
Jpt2,JPT2
Tmem204,TMEM204
Ift140,IFT140
Telo2,TELO2
Prss28,None
St6gal2,ST6GAL2
Tpsab1,TPSB2
Pot1b,None
Tekt4,TEKT4
Sox8,SOX8
Nme4,NME4
Tmem8,None
Mrpl28,MRPL28
Axin1,AXIN1
Pdia2,PDIA2
Rgs11,RGS11
Fam234a,FAM234A
Luc7l,LUC7L
Dusp1,DUSP1
Bnip1,BNIP1
Phf1,PHF1
Cuta,CUTA
Plin3,PLIN3
Kdm4b,KDM4B
Rfx2,RFX2
Acsbg2,ACSBG2
Uqcc2,UQCC2
Acsbg3,None
Ip6k3,IP6K3
Grm8,GRM8
Mllt1,None
Nudt3,NUDT3
Spdef,SPDEF
Snrpc,SNRPC
Taf11,TAF11
Anks1,None
Zfp523,None
Fkbp5,FKBP5
Armc12,ARMC12
Clpsl2,CLPSL2
Clps,CLPS
Pdzph1,None
Nudt12,NUDT12
Cul2,CUL2
Bambi,BAMBI
Lyzl1,LYZL2
Mtpap,MTPAP
Map3k8,MAP3K8
Svil,SVIL
Zeb1,ZEB1
Epc1,EPC1
Sos1,SOS1
Map4k3,MAP4K3
Tmem178,None
Thumpd2,THUMPD2
Pkdcc,PKDCC
Cox7a2l,COX7A2L
Thada,THADA
Dync2li1,DYNC2LI1
Abcg8,ABCG8
Adcyap1,ADCYAP1
Polr2d,POLR2D
Slc25a46,SLC25A46
Sap130,SAP130
Syt4,SYT4
Adad2,ADAD2
Celf4,CELF4
Tpgs2,TPGS2
Slc39a6,SLC39A6
Elp2,ELP2
X2700062C07Rik,None
Zfp397,None
Mapre2,MAPRE2
Wac,WAC
Ccny,CCNY
Thoc1,THOC1
Rock1,ROCK1
Cyp4f14,CYP4F12
Esco1,ESCO1
Mib1,MIB1
Cyp4f41.ps,None
Zfp871,None
Adamts10,ADAMTS10
Myo1f,MYO1F
Kifc5b,None
Dtna,DTNA
Cdh2,CDH2
Ccdc178,CCDC178
Tapbp,TAPBP
Pfdn6,PFDN6
Wdr46,WDR46
Mep1b,MEP1B
Rnf138,RNF138
Vps52,VPS52
Ring1,RING1
Slc39a7,SLC39A7
Col11a2,COL11A2
Dsc2,DSC2
H2.Oa,None
Brd2,BRD2
Psmb8,PSMB8
Tap2,TAP2
Btnl2,BTNL2
Pfdn1,PFDN1
Psd2,PSD2
Tmem173,None
Dnajc18,DNAJC18
Spata24,SPATA24
Mzb1,MZB1
Slc23a1,SLC23A1
Sil1,SIL1
Hspa9,HSPA9
Etf1,ETF1
Cyp21a1,None
Gfra3,GFRA3
Nelfe,NELFE
Cdc23,CDC23
C2,C2
Epb41l4a,EPB41L4A
Stard4,STARD4
Tslp,TSLP
Bin1,BIN1
Ercc3,ERCC3
Map3k2,MAP3K2
Iws1,IWS1
Proc,PROC
Csnk2b,CSNK2B
Myo7b,MYO7B
Apom,APOM
Bag6,BAG6
Prrc2a,PRRC2A
Lims2,LIMS2
Aif1,AIF1
Ltb,LTB
Wdr33,WDR33
Tnf,TNF
Lta,LTA
Atp6v1g2,ATP6V1G2
Riok3,RIOK3
Pou5f1,POU5F1
Psors1c2,PSORS1C2
Rmc1,RMC1
Aqp4,AQP4
Npc1,NPC1
Mrpl27,MRPL27
Zfp521,None
Lama3,LAMA3
Dhx16,None
Impact,IMPACT
Ttc39c,TTC39C
Ndfip1,NDFIP1
Atat1,ATAT1
Spry4,SPRY4
Gnl1,GNL1
Cabyr,CABYR
Nr3c1,NR3C1
Mrps18b,MRPS18B
Pcdh12,PCDH12
Dele1,DELE1
Rpp21,RPP21
H2.M10.1,None
Arap3,ARAP3
Hdac3,HDAC3
Diaph1,DIAPH1
Trim26,TRIM26
H2.M5,None
Gabbr1,GABBR1
Myot,MYOT
Dcp2,DCP2
Ik,IK
Pggt1b,PGGT1B
Mal2,MAL2
Ap3s1,AP3S1
Lvrn,LVRN
Ankhd1,None
Slc4a9,None
Hbegf,HBEGF
Yipf5,YIPF5
Rbm27,RBM27
Lars,None
Pou4f3,POU4F3
Tcerg1,TCERG1
Ppp2r2b,PPP2R2B
Dpysl3,DPYSL3
Jakmip2,None
Spink1,SPINK1
Dtwd2,DTWD2
Hsd17b4,HSD17B4
Ftmt,FTMT
Rab27b,RAB27B
Dynap,None
Mbd2,MBD2
Smad4,SMAD4
Sec11c,SEC11C
Grp,GRP
Rax,RAX
Cplx4,CPLX4
Pmaip1,PMAIP1
Gnal,GNAL
Impa2,IMPA2
Cidea,CIDEA
Afg3l2,AFG3L2
Srfbp1,SRFBP1
Lox,LOX
Prelid3a,PRELID3A
X1700034E13Rik,None
Spire1,SPIRE1
Sncaip,SNCAIP
Snx24,SNX24
Psmg2,PSMG2
Ppic,PPIC
Ptpn2,PTPN2
Cep192,None
Ldlrad4,LDLRAD4
Setbp1,SETBP1
Slc14a2,SLC14A2
Galr1,GALR1
Me2,ME2
Mapk4,MAPK4
Cxxc1,CXXC1
Mbd1,MBD1
Smad2,SMAD2
Sall3,SALL3
Atp9b,ATP9B
Rbfa,RBFA
Txnl4a,TXNL4A
Pde6a,PDE6A
Csnk1a1,CSNK1A1
Il17b,IL17B
Pcyox1l,PCYOX1L
Grpel2,GRPEL2
Napg,NAPG
Txnl1,TXNL1
Nars,None
Fech,FECH
Nedd4l,NEDD4L
Lmnb1,LMNB1
C330018D20Rik,None
Megf10,MEGF10
Prrc1,PRRC1
Slc12a2,SLC12A2
Fbn2,FBN2
Slc27a6,SLC27A6
Isoc1,ISOC1
Dctn4,DCTN4
Rbm22,RBM22
Rps14,RPS14
Cd74,CD74
Tcof1,TCOF1
Tmx3,TMX3
Camk2a,CAMK2A
Cdx1,CDX1
Pdgfrb,PDGFRB
Csf1r,CSF1R
Hmgxb3,None
Gnaq,GNAQ
Psat1,PSAT1
Tle4,TLE4
Cndp2,CNDP2
Timm21,TIMM21
Cyb5a,CYB5A
Cbln2,CBLN2
Slc22a6,SLC22A6
Scgb1a1,SCGB1A1
Asrgl1,ASRGL1
Anxa1,ANXA1
Incenp,INCENP
Fth1,FTH1
Rab3il1,RAB3IL1
Fads3,FADS3
Fads2,FADS2
Tmem138,TMEM138
Tmem216,TMEM216
Sdhaf2,SDHAF2
Cd5,CD5
Cd6,CD6
Ms4a7,None
Ms4a1,MS4A1
Ms4a4c,None
Ms4a6b,MS4A6E
Ms4a4d,None
Ms4a2,MS4A2
Ms4a3,MS4A3
Cblif,CBLIF
Mrpl16,MRPL16
Osbp,OSBP
Fam111a,FAM111A
Keg1,None
Zfp91,ZFP91
Lpxn,LPXN
Gna14,GNA14
Rfk,RFK
Pcsk5,PCSK5
Ostf1,OSTF1
Carnmt1,CARNMT1
Trpm6,TRPM6
Ms4a19,None
Ms4a20,None
Ms4a8a,None
Ms4a10,MS4A10
Ccdc86,CCDC86
Zp1,ZP1
Prpf19,PRPF19
Tmem132a,TMEM132A
Slc15a3,SLC15A3
Pga5,PGA5
Ddb1,DDB1
Fen1,FEN1
Syt7,SYT7
Aldh1a7,ALDH1A1
Tmc1,TMC1
Zfand5,ZFAND5
Cemip2,CEMIP2
Slc22a19,SLC22A25
Rtn3,RTN3
Atl3,ATL3
Naa40,NAA40
Lipo3,None
Otub1,OTUB1
Lipf,LIPF
Cdc42bpg,CDC42BPG
Lipn,LIPN
Lipk,LIPK
Ehd1,EHD1
Atg2a,ATG2A
Ankrd22,ANKRD22
Stambpl1,STAMBPL1
Ppp2r5b,PPP2R5B
Fas,FAS
Cdc37l1,CDC37L1
Lipa,LIPA
Ak3,AK3
Gpha2,GPHA2
Rcl1,RCL1
Majin,MAJIN
Snx15,SNX15
Jak2,JAK2
Sac3d1,SAC3D1
Cdca5,CDCA5
Zfpl1,ZFPL1
Tnfrsf25,None
Kif20b,KIF20B
Vps51,VPS51
Htr7,HTR7
Tm7sf2,TM7SF2
Rpp30,RPP30
Ankrd1,ANKRD1
Pcgf5,PCGF5
Mlana,None
Syvn1,SYVN1
Il33,IL33
Tnks2,TNKS2
Tjp2,TJP2
Trpd52l3,None
Frmd8,FRMD8
Uhrf2,UHRF2
Slc25a45,SLC25A45
Rad9a,RAD9A
Dpf2,DPF2
Gldc,GLDC
Mrpl21,MRPL21
Rps6kb2,RPS6KB2
Ighmbp2,IGHMBP2
Pola2,POLA2
Coro1b,CORO1B
Dmrt1,DMRT1
Eif1ad,EIF1AD
Cabp4,CABP4
Chka,CHKA
Banf1,BANF1
Tmem134,TMEM134
Cst6,None
Aip,AIP
Pitpnm1,PITPNM1
Sf3b2,None
Pold4,POLD4
Pacs1,PACS1
Cdk2ap2,CDK2AP2
Cabp2,CABP2
Grk2,GRK2
Klc2,KLC2
Mbl2,MBL2
Acy3,ACY3
Pip5k1b,PIP5K1B
Dkk1,DKK1
Rab1b,RAB1B
Doc2g,DOC2GP
Cnih2,CNIH2
Yif1a,YIF1A
Cbwd1,CBWD1
Rin1,RIN1
Aldh3b1,ALDH3B1
Asah2,ASAH2
Rce1,RCE1
Slc29a2,SLC29A2
Pcx,None
Minpp1,MINPP1
Apba1,APBA1
Papss2,PAPSS2
Cpt1a,CPT1A
Peli3,PELI3
Mrpl11,MRPL11
Lao1,None
Tesmin,TESMIN
Mus81,MUS81
Gal,GAL
Ppp6r3,PPP6R3
Efemp2,EFEMP2
Ctsw,CTSW
Fibp,FIBP
Fosl1,FOSL1
Lrp5,LRP5
Drap1,DRAP1
Smarca2,SMARCA2
Ovol1,OVOL1
Vldlr,VLDLR
Rnaseh2c,RNASEH2C
Kat5,KAT5
Rela,RELA
Slc1a1,SLC1A1
Kcnk7,KCNK7
Ehbp1l1,EHBP1L1
Fam89b,FAM89B
Ltbp3,LTBP3
Scyl1,SCYL1
Capn1,CAPN1
Smc5,SMC5
Arl2,ARL2
Men1,MEN1
Map4k2,MAP4K2
Sf1,SF1
Rps6ka4,RPS6KA4
Prdx5,PRDX5
Esrra,ESRRA
Kcnk4,KCNK4
Gpr137,GPR137
Bad,BAD
Plcb3,PLCB3
Vegfb,VEGFB
Dnajc4,DNAJC4
Fermt3,FERMT3
Stip1,STIP1
Rcor2,RCOR2
Mark2,MARK2
Spindoc,SPINDOC
Lgals12,LGALS12
Plaat5,PLAAT5
Smc3,SMC3
Pdcd4,PDCD4
Shoc2,SHOC2
Gpam,GPAM
Tectb,TECTB
Acsl5,ACSL5
Zdhhc6,ZDHHC6
Vti1a,VTI1A
Tcf7l2,TCF7L2
Hhex,HHEX
Cyp26a1,CYP26A1
Cep55,CEP55
Rbp4,RBP4
Eif3a,EIF3A
Pde6c,PDE6C
Fam45a,None
Prdx3,PRDX3
Plce1,PLCE1
Noc3l,NOC3L
Hells,HELLS
Cyp2c55,CYP2C18
Cyp2c40,None
Sorbs1,SORBS1
Aldh18a1,ALDH18A1
Tctn3,TCTN3
Ccnj,CCNJ
Tll2,TLL2
Dntt,DNTT
Tm9sf3,TM9SF3
Pik3ap1,PIK3AP1
Lcor,LCOR
Slit1,SLIT1
Smndc1,SMNDC1
Mxi1,MXI1
Add3,ADD3
Xpnpep1,XPNPEP1
Trim8,TRIM8
Arl3,ARL3
Sfxn2,SFXN2
Maoa,MAOA
Efhc2,EFHC2
Fundc1,FUNDC1
Nt5c2,NT5C2
Dusp21,DUSP21
Msr1,MSR1
Pdcd11,PDCD11
Taf5,TAF5
Pcgf6,PCGF6
Samt4,None
Nr0b1,NR0B1
X5430427O19Rik,None
Gk,GK
Slk,SLK
Col17a1,COL17A1
Sfr1,SFR1
Gsto1,GSTO1
Gsto2,GSTO2
Habp2,HABP2
Casp7,CASP7
Dclre1a,DCLRE1A
Nhlrc2,NHLRC2
Tdrd1,TDRD1
Vwa2,VWA2
Afap1l2,AFAP1L2
Ablim1,ABLIM1
Trub1,TRUB1
Gfra1,GFRA1
Ccdc172,CCDC172
Pnliprp2,PNLIPRP2
Hspa12a,HSPA12A
Slc18a2,SLC18A2
X3110040N11Rik,None
Btbd1,BTBD1
Hdgfl3,HDGFL3
Bnc1,BNC1
Gcgr,GCGR
Bhlhe22,BHLHE22
Ppp1r27,PPP1R27
P4hb,P4HB
Arhgdia,ARHGDIA
Ints4,INTS4
Alyref,ALYREF
Anapc11,ANAPC11
Pcyt2,PCYT2
Sirt7,SIRT7
Tollip,TOLLIP
Pycr1,PYCR1
Myadml2,MYADML2
Aspscr1,ASPSCR1
Cenpx,CENPX
Lrrc45,LRRC45
Mob2,MOB2
Cbr2,None
Maged1,MAGED1
Fasn,FASN
Arhgap19,ARHGAP19
Dus1l,DUS1L
Gps1,GPS1
Zdhhc16,ZDHHC16
Rfng,RFNG
Mms19,MMS19
Slc16a3,SLC16A3
Csnk1d,CSNK1D
Cd7,CD7
Sectm1a,SECTM1
Ogfod3,OGFOD3
Rab40b,RAB40B
Ubtd1,UBTD1
Ankrd2,ANKRD2
Wdr45b,WDR45B
Fn3k,FN3K
Hoga1,HOGA1
Pi4k2a,PI4K2A
R3hcc1l,R3HCC1L
Loxl4,LOXL4
Hps1,HPS1
Cnnm1,CNNM1
Got1,GOT1
Entpd7,ENTPD7
Cutc,CUTC
Abcc2,ABCC2
Dnmbp,DNMBP
Cpn1,CPN1
Cyp2c23,CYP2C23P
Erlin1,ERLIN1
Chuk,CHUK
Cwf19l1,CWF19L1
Scd3,SCD
Ndufb8,NDUFB8
Sema4g,SEMA4G
Mrpl43,MRPL43
Twnk,TWNK
Sfxn3,SFXN3
Kazald1,KAZALD1
Tlx1,TLX1
Lbx1,LBX1
Btrc,BTRC
Poll,POLL
Fgf8,FGF8
Oga,OGA
Kcnip2,KCNIP2
Ldb1,LDB1
Gbf1,None
Nfkb2,NFKB2
Fbxl15,FBXL15
Mfsd13a,MFSD13A
Actr1a,ACTR1A
Pitx3,PITX3
Sufu,SUFU
Hexa,HEXA
Arih1,ARIH1
Bbs4,BBS4
Adpgk,ADPGK
Parp6,PARP6
Limd1,LIMD1
Sacm1l,SACM1L
Fyco1,FYCO1
Slc6a20b,SLC6A20
Lztfl1,LZTFL1
Tbl1x,TBL1X
Zfhx4,ZFHX4
Ribc1,RIBC1
Hsd17b10,HSD17B10
Huwe1,HUWE1
Fam120c,FAM120C
Tsr2,TSR2
Fgd1,FGD1
Gnl3l,GNL3L
Maged2,None
Apex2,APEX2
Alas2,ALAS2
Pfkfb1,PFKFB1
Tro,None
Abhd6,ABHD6
Flnb,FLNB
Dnase1l3,DNASE1L3
Polr3a,None
Sat1,SAT1
Acot9,ACOT9
X4933436I01Rik,None
Prdx4,PRDX4
Rps24,RPS24
Ptprj,PTPRJ
Banp,BANP
Car5a,None
Jph3,JPH3
Itgb8,ITGB8
Sp4,SP4
Atp10a,ATP10A
Ube3a,UBE3A
Padi3,PADI3
Padi1,PADI1
Padi4,PADI4
Kdm5c,KDM5C
Gpr143,GPR143
Sbds,SBDS
Rabgef1,RABGEF1
Mettl7b,METTL7B
Itga7,ITGA7
Rdh5,RDH5
Cd63,CD63
Gdf11,GDF11
Ormdl2,ORMDL2
Dnajc14,DNAJC14
Mmp19,MMP19
Dgka,DGKA
Cdk2,CDK2
Pmel,PMEL
Rps26,RPS26
Pa2g4,PA2G4
Esyt1,ESYT1
Smarcc2,SMARCC2
Cdh9,CDH9
Chmp6,CHMP6
Baiap2,BAIAP2
Rnf41,RNF41
Nabp2,NABP2
Aatk,AATK
Tepsin,TEPSIN
Fscn2,FSCN2
Cnpy2,CNPY2
Il23a,IL23A
Faap100,FAAP100
Pde6g,PDE6G
Mip,MIP
Atp5b,None
Prim1,PRIM1
Hsd17b6,HSD17B6
Tac2,None
Myo1a,MYO1A
Nab2,NAB2
Shmt2,SHMT2
R3hdm2,R3HDM2
Inhbc,INHBC
Gli1,GLI1
Ddit3,DDIT3
Mbd6,MBD6
Dctn2,DCTN2
Ttc4,TTC4
Pip4k2c,PIP4K2C
Bsnd,BSND
Katnal2,KATNAL2
Hdhd2,HDHD2
Agap2,AGAP2
Pias2,PIAS2
St8sia5,ST8SIA5
Rnf165,RNF165
Atp5a1,None
Pstpip2,PSTPIP2
Crisp1,None
Avil,AVIL
Crisp3,None
Atp23,ATP23
Usp33,USP33
Clns1a,CLNS1A
Paip1,PAIP1
Nnt,NNT
Cd163l1,None
Paox,PAOX
Echs1,ECHS1
Fuom,FUOM
Prap1,PRAP1
Caly,CALY
Msx3,None
Zfp511,None
Adam8,ADAM8
Tubgcp2,TUBGCP2
Adgra1,ADGRA1
Inpp5a,INPP5A
Dpysl4,DPYSL4
Cyp2e1,CYP2E1
Syce1,SYCE1
Urah,URAHP
Odf3,ODF3
Bet1l,BET1L
Ric8a,RIC8A
Sirt3,SIRT3
Psmd13,PSMD13
Cox8b,COX8BP
Ifitm5,IFITM5
Ifitm1,IFITM1
Ifitm3,IFITM3
Sigirr,SIGIRR
Ptdss2,PTDSS2
Drd4,DRD4
Cdhr5,CDHR5
Irf7,IRF7
Hras,HRAS
Lmntd2,LMNTD2
Taldo1,TALDO1
Eps8l2,EPS8L2
Tmem80,TMEM80
Pidd1,PIDD1
Rplp2,RPLP2
Pnpla2,PNPLA2
Cd151,CD151
Tspan4,TSPAN4
Chid1,CHID1
Tktl2,TKTL2
Tmem192,TMEM192
Apool,APOOL
Satl1,SATL1
X2010106E10Rik,None
Zfp711,None
Chm,CHM
Crcp,CRCP
Asl,ASL
Gusb,GUSB
Phkg1,PHKG1
Sumf2,SUMF2
Tm9sf2,TM9SF2
Clybl,CLYBL
Fgf14,FGF14
Farp1,FARP1
Slc15a1,SLC15A1
Dock9,DOCK9
Tnrc6c,TNRC6C
Tmc6,TMC6
X6030468B19Rik,None
Tk1,TK1
Cant1,CANT1
Rbfox3,RBFOX3
Cbx2,CBX2
Cbx8,CBX8
Gaa,GAA
Eif4a3,EIF4A3
Nptx1,NPTX1
Rptor,RPTOR
Pde8a,PDE8A
Cpeb1,CPEB1
Nat1,NAT2
Tma16,TMA16
Dach2,DACH2
Klhl4,None
Zfp202,None
Copg2,COPG2
Podxl,PODXL
Mkln1,MKLN1
Map3k7cl,MAP3K7CL
Bach1,BACH1
Cct8,CCT8
Usp16,USP16
Phf6,PHF6
Hprt,None
Ccdc51,CCDC51
Atrip,ATRIP
Shisa5,SHISA5
Pfkfb4,PFKFB4
Col7a1,COL7A1
Uqcrc1,UQCRC1
Tmem89,TMEM89
Arhgef9,ARHGEF9
Cnksr2,CNKSR2
Rps6ka6,RPS6KA6
Tmem47,TMEM47
Alox5,ALOX5
March8,None
Myo3a,MYO3A
Wdr73,WDR73
Nmb,NMB
Sec11a,SEC11A
Slc28a1,None
A930017K11Rik,None
Pigq,PIGQ
Rab40c,RAB40C
Mettl26,METTL26
Mcrip2,MCRIP2
Rhot2,RHOT2
Rhbdl1,RHBDL1
Jmjd8,JMJD8
Wdr24,WDR24
Fbxl16,FBXL16
Gng13,GNG13
Prps2,PRPS2
Sdc3,SDC3
Hadha,HADHA
Il6,IL6
Tyms,TYMS
Agbl1,AGBL1
Hspa4l,HSPA4L
Plk4,PLK4
Mfsd8,MFSD8
Larp1b,None
Jade1,JADE1
D3Ertd751e,C4orf33
Crisp4,None
Crispld1,CRISPLD1
Gdap1,GDAP1
Ly96,LY96
Itih5,ITIH5
Atp5c1,None
Taf3,TAF3
Clec3b,CLEC3B
Exosc7,EXOSC7
Zdhhc3,ZDHHC3
Tgm4,TGM4
St8sia2,ST8SIA2
Slco3a1,SLCO3A1
Pgm2,PGM2
Slc25a10,SLC25A10
Hgs,HGS
Rpl14,RPL14
Rassf3,RASSF3
Ccr1,CCR1
Ccdc7a,None
Itgb1,ITGB1
Nrp1,NRP1
Pard3,PARD3
Homer2,HOMER2
Dhtkd1,DHTKD1
Sec61a2,SEC61A2
Nudt5,NUDT5
Zfp282,None
Pdia4,PDIA4
Iscu,ISCU
Pramel6,None
Pramel7,None
Fam20c,FAM20C
Prkar1b,PRKAR1B
Pdgfa,PDGFA
Dnaaf5,DNAAF5
Get4,GET4
Xiap,XIAP
Stag2,STAG2
Cplx2,CPLX2
Higd2a,HIGD2A
Nop16,NOP16
Arl10,ARL10
X4833439L19Rik,None
Thoc3,THOC3
Faf2,FAF2
Tspan17,TSPAN17
Unc5a,UNC5A
Hk3,HK3
Uimc1,UIMC1
Smad7,SMAD7
Myo5b,MYO5B
Casp12,CASP12
Casp1,CASP1
Snca,SNCA
Gria4,GRIA4
Kbtbd3,KBTBD3
Aasdhppt,AASDHPPT
Cwf19l2,CWF19L2
Alkbh8,ALKBH8
Rp1,RP1
Sox17,SOX17
Lypla1,LYPLA1
Oprk1,OPRK1
Rb1cc1,RB1CC1
Sntg1,SNTG1
Adhfe1,ADHFE1
Mybl1,MYBL1
Sgk3,SGK3
Ppp1r42,PPP1R42
Cops5,COPS5
Stau2,STAU2
Rdh10,RDH10
Terf1,TERF1
Tfap2b,TFAP2B
Il17a,IL17A
Msc,MSC
Paqr8,PAQR8
Eya1,EYA1
Tmem14a,TMEM14A
Gsta3,GSTA3
Tram1,TRAM1
Gm4956,None
Lactb2,LACTB2
Slco5a1,None
Ube2w,UBE2W
