"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"APLNR","Aplnr",10.472623,7.921614,17.098675,412,343,457,11.8309706666667,0.313457,0.184917,0.386352,25,14,29,2.467845,3.69998389970332
"APLP1","Aplp1",0.569319,0.463186,0.167645,19,18,9,0.40005,46.369754,45.66327,38.559164,323,295,260,3.39979733333333,0.318207838664084
"APLP2","Aplp2",41.903881,37.593314,51.890185,3448,3195,2897,43.7957933333333,165.145318,93.693283,69.521531,6556,4923,4198,10.7048306666667,3.82712015312652
"APMAP","Apmap",5.088393,5.097903,5.630557,273,309,258,5.27228433333333,9.512968,9.611259,8.111028,433,412,347,3.37568866666667,1.43343935347015
"APOA1","Apoa1",0,0,0,0,0,0,0,19.807304,21.269468,16.3713,323,316,246,0.010858,0.989258629797657
"APOA2","Apoa2",0.886258,0.430133,0.523801,7,3,3,0.613397333333333,4.960471,4.242126,0,3,5,0,16.9863023333333,0.0897014463247004
"APOA4","Apoa4",0,0,0,0,0,0,0,0,0,0.035963,0,0,1,0.0948856666666667,0.913337374343805
"APOA5","Apoa5",0,0,0,0,0,0,0,0,0,0,0,0,0,15.9867646666667,0.0588693620959094
"APOB","Apob",0,0,0,0,0,0,0,0.008783,0,0.010141,2,0,3,17.0073163333333,0.0555329834545584
"APOBEC1","Apobec1",1.377961,1.834934,1.350329,50,32,31,1.52107466666667,0,0,0,0,0,0,2.11114066666667,0.81033773036299
"APOBEC2","Apobec2",33.547663,33.661397,37.520611,1389,1332,1142,34.9098903333333,112.765282,104.712997,93.119096,2366,2094,1835,6.49743166666667,4.78962555844124
"APOBEC3B","Apobec3",1.558858,1.750461,2.751102,85,77,68,2.02014033333333,3.292212,2.824138,2.684902,102,83,77,8.07495433333333,0.33279950756777
"APOBEC4","Apobec4",0,0,0,0,0,0,0,0.019527,0.037572,0.019133,1,2,1,0.026011,0.974648419948714
"APOBR","Apobr",0.414196,0.226212,0.206406,12,10,7,0.282271333333333,0,0,0,0,0,0,13.607446,0.0877820348152123
"APOC1","Apoc1",0,0.320323,0,0,1,0,0.106774333333333,6.347991,0.334572,5.241534,5,2,4,1.05867833333333,0.537614019350603
"APOC2","Apoc2",0,0,0,0,0,0,0,0.122203,0.072588,0.088024,2,1,1,22.1969976666667,0.0431090270546937
"APOC3","Apoc3",0,0,0,0,0,0,0,0,0,0,0,0,0,5.38695833333333,0.156569050212999
"APOC4","Apoc4",0.031823,0.117215,0.044126,2,7,2,0.064388,0,0,0.446354,0,0,1,88.1860483333333,0.0119344675528379
"APOD","Apod",2.805785,2.157048,1.838971,46,42,23,2.267268,0,0,0,0,0,0,0.351661333333333,2.41722384108051
"APOE","Apoe",67.792044,71.956017,75.80442,1219,1426,849,71.850827,132.106717,118.509612,118.662204,2640,2138,2235,0.339726333333333,54.3773942389727
"APOF","Apof",0.016841,0,0,1,0,0,0.00561366666666667,0.146312,0.029895,0.03039,5,1,1,0.970974,0.510211533316354
"APOH","Apoh",0,0.231883,0.042541,0,1,1,0.0914746666666667,0.096152,0.048587,0,1,1,0,1.19862833333333,0.496434367791434
"APOM","Apom",0,0,0,0,0,0,0,1.97502,1.570779,1.233079,22,17,13,10.4986676666667,0.086966597260558
"APOO","Apoo",27.002552,26.824889,28.422094,682,636,541,27.4165116666667,175.742037,249.586349,165.200992,425,447,342,9.45774533333333,2.71726942671773
"APOOL","Apool",13.773693,12.862414,15.257213,376,339,310,13.96444,2.383436,2.042481,1.799587,272,248,215,0.801363333333333,8.30728577799408
"APP","App",18.297045,19.239773,22.85072,1602,1675,1305,20.1291793333333,125.39149,84.09417,79.449017,4613,3288,3105,2.684394,5.73477736999174
"APPBP2","Appbp2",1.733546,1.646568,1.827612,360,317,273,1.73590866666667,2.77091,1.875682,1.37669,240,232,166,28.265704,0.0934851478941585
"APPL1","Appl1",3.322694,3.841762,3.073918,425,414,334,3.41279133333333,6.510165,3.097927,2.4923,372,277,265,9.13880333333333,0.435237886390932
"APPL2","Appl2",19.644738,16.784486,17.765663,593,469,414,18.0649623333333,13.881798,8.026207,9.790179,186,145,134,7.808656,2.16434406489859
"APRT","Aprt",4.309883,3.637755,5.359752,67,54,53,4.43579666666667,46.00386,44.319686,37.860009,417,384,350,2.09442933333333,1.7566394579162
"APTX","Aptx",2.227471,3.845212,3.318341,121,107,111,3.13034133333333,16.324858,13.552838,12.240208,341,275,273,1.141582,1.92864029177185
"AQP1","Aqp1",41.095246,47.867981,50.535607,3604,3919,3172,46.4996113333333,64.626809,49.898246,43.327321,2253,2008,1761,1.77315533333333,17.1283630463782
"AQP11","Aqp11",0.180287,0.286991,0.251643,13,12,15,0.239640333333333,0.370394,0.391541,0.123795,11,13,4,0.0370803333333333,1.19531755977759
"AQP12B","Aqp12",0,0,0,0,0,0,0,0.014857,0,0,1,0,0,5.524154,0.153276578082001
"AQP2","Aqp2",0.024938,0,0,1,0,0,0.00831266666666667,0,0,0,0,0,0,1.32941266666667,0.432861330710259
"AQP3","Aqp3",0,0,0,0,0,0,0,0.451617,0.423463,0.284927,7,9,4,12.963779,0.0716138518090268
"AQP4","Aqp4",0.687857,0.678295,0.873447,82,99,87,0.746533,0,0,0,0,0,0,2.98710966666667,0.438044886149357
"AQP5","Aqp5",0,0,0,0,0,0,0,0,0,0,0,0,0,450.863951,0.00221305549554671
"AQP6","Aqp6",0.074502,0.024542,0,5,1,0,0.0330146666666667,0,0.00903,0.0228,0,1,1,11.798532,0.0807135276660375
"AQP7","Aqp7",4.789761,4.588085,8.103887,216,157,177,5.82724433333333,0.89911,0.819333,0.417684,31,32,12,4.93309533333333,1.1507053148087
"AQP8","Aqp8",0.602284,0.874504,0.474962,24,32,15,0.650583333333333,0,0.084451,0.084979,0,2,2,13.154896,0.116608651404668
"AQP9","Aqp9",0,0,0.033593,0,0,2,0.0111976666666667,0,0,0,0,0,0,7.91875033333333,0.113378851170143
"AQR","Aqr",1.878859,2.978917,3.157828,280,328,236,2.671868,5.938396,5.545885,5.211181,344,268,209,6.17456066666667,0.511789943746614
"AR","Ar",0.133861,0.167871,0.223822,46,54,55,0.175184666666667,0.106458,0.068887,0.067865,19,13,12,9.94668566666667,0.107355294785268
"ARAF","Araf",14.134792,15.374956,15.993575,643,625,502,15.1677743333333,24.939206,24.429229,15.070964,509,497,383,4.60431033333333,2.88488205893428
"ARAP1","Arap1",19.660909,19.180872,25.885564,281,312,290,21.5757816666667,46.596553,36.021213,30.29648,722,495,403,32.1912556666667,0.680172569950075
"ARAP2","Arap2",3.520414,4.670021,6.794114,210,205,204,4.99484966666667,0.67504,0.336668,0.483871,74,33,41,4.01815333333333,1.19463262049917
"ARAP3","Arap3",11.822718,8.213812,10.03651,613,484,392,10.0243466666667,1.56694,1.454545,1.579981,137,110,88,2.857704,2.85774820117528
"ARC","Arc",0.132383,0.108296,0.200349,14,11,15,0.147009333333333,0.088674,0.050021,0.016124,6,3,1,474.037784,0.00241456442406555
"ARCN1","Arcn1",12.76973,13.396005,15.948177,1129,1073,921,14.0379706666667,28.583028,30.340493,23.848324,1630,1458,1112,3.45503266666667,3.37550177335026
"AREG","Areg",0,0,0,0,0,0,0,0.468857,0.463937,0.331778,10,10,7,13.5236836666667,0.0688530556676267
"AREL1","Arel1",5.83544,5.874375,8.435921,736,772,742,6.71524533333333,10.229054,4.918215,5.567674,540,418,328,37.167103,0.202143854966759
"ARF1","Arf1",33.610999,34.974289,37.152146,1848,1792,1467,35.2458113333333,128.997526,104.332288,94.135358,3698,3367,2993,15.476166,2.19989355128695
"ARF3","Arf3",1.768871,2.43602,2.00424,272,255,195,2.06971033333333,32.011796,28.071471,29.613113,1077,999,882,7.52348166666667,0.360147467124643
"ARF4","Arf4",31.417871,22.408493,24.426679,503,550,479,26.0843476666667,109.687665,101.694519,75.699328,1246,1360,1086,5.47030966666667,4.185943032402
"ARF5","Arf5",13.020093,16.933151,18.2999,378,437,349,16.0843813333333,55.827541,55.196997,46.307945,783,737,639,15.0160843333333,1.06670150941804
"ARF6","Arf6",4.527969,4.207602,5.28325,166,169,132,4.67294033333333,5.275428,4.42951,4.298716,333,299,288,1.95476133333333,1.91993182980148
"ARFGAP1","Arfgap1",5.505959,6.500021,5.224814,253,273,196,5.743598,16.813843,13.360132,11.635217,689,545,420,19.3477566666667,0.331417271715621
"ARFGAP2","Arfgap2",12.685853,12.373299,10.367351,579,620,482,11.8088343333333,172.966852,92.023442,146.899352,1069,883,772,0,12.8088343333333
"ARFGAP3","Arfgap3",1.539179,1.265597,1.248512,93,81,62,1.351096,7.527026,5.437507,4.192589,285,262,177,29.411882,0.0773084677890043
"ARFGEF1","Arfgef1",14.006453,15.582138,16.813138,1631,1605,1371,15.467243,8.5799,8.264408,7.025518,408,335,251,0.294088333333333,12.7249760127142
"ARFGEF2","Arfgef2",3.107834,2.83145,3.285908,784,667,548,3.075064,31.436984,3.499449,1.972292,827,460,358,0.901605333333333,2.1429599131681
"ARFGEF3","Arfgef3",0.009712,0.006321,0,5,3,0,0.00534433333333333,0.069131,0.03254,0.029729,21,10,9,31.3028933333333,0.0311224237085883
"ARFIP2","Arfip2",6.299818,3.553801,4.464107,150,129,100,4.77257533333333,12.110559,9.838102,7.766952,355,283,222,0.115956,5.17276248645407
"ARFRP1","Arfrp1",11.69561,10.689657,9.837489,387,325,268,10.7409186666667,33.420932,42.502184,32.552191,432,369,347,0,11.7409186666667
"ARG1","Arg1",0,0,0,0,0,0,0,0.123346,0,0.10768,1,0,2,7.07312866666667,0.123867714895828
"ARG2","Arg2",0.024979,0.026849,0,1,1,0,0.017276,48.696798,36.014316,31.958777,1049,825,959,13.470035,0.0703022487506077
"ARGLU1","Arglu1",8.720419,7.023295,5.878883,643,401,324,7.20753233333333,55.129124,33.521097,37.787146,1184,1003,923,13.1103426666667,0.58166782531244
"ARHGAP1","Arhgap1",5.688129,5.369728,5.115859,265,243,207,5.39123866666667,40.623884,36.321521,31.440658,2866,2488,2170,1.16947133333333,2.94598899209546
"ARHGAP10","Arhgap10",5.497742,5.898431,6.040666,468,454,366,5.81227966666667,10.919173,10.282073,10.449028,635,466,419,5.22903566666667,1.09363311292647
"ARHGAP11A","Arhgap11a",0.241594,0.179389,0.219352,34,24,22,0.213445,8.132981,5.977958,5.525746,307,314,211,0.387805,0.874362752692201
"ARHGAP12","Arhgap12",2.745701,3.365425,3.895846,303,262,212,3.33565733333333,6.315,3.911317,3.756037,178,160,125,4.76932166666667,0.751502097444731
"ARHGAP15","Arhgap15",0.335123,0.124952,0.356511,17,9,5,0.272195333333333,0.021593,0,0,1,0,0,20.9931363333333,0.0578451074031294
"ARHGAP17","Arhgap17",2.501998,2.27581,3.128939,149,128,115,2.63558233333333,33.533142,25.719847,21.256774,978,690,633,10.3555746666667,0.320158375075925
"ARHGAP18","Arhgap18",3.627926,3.539567,4.45825,211,162,212,3.87524766666667,1.865491,0.635971,0.643,52,31,17,40.92511,0.116284672041807
"ARHGAP19","Arhgap19",0.233137,0.180391,0.231868,39,28,28,0.215132,2.349759,1.318346,0.916199,141,112,84,11.938043,0.0939193044883218
"ARHGAP20","Arhgap20",3.103806,2.794138,2.494661,636,467,358,2.797535,0.049296,0.040932,0.00828,6,5,1,5.20179633333333,0.612328234577627
"ARHGAP21","Arhgap21",27.561206,80.011138,70.774092,843,846,654,59.448812,24.85594,8.558311,10.045904,834,480,370,20.7145683333333,2.78379063640915
"ARHGAP22","Arhgap22",0.483224,0.216621,0.402504,15,12,12,0.367449666666667,0.865581,1.576052,0.67891,16,28,10,38.471629,0.0346438619664435
"ARHGAP23","Arhgap23",1.585352,1.250247,1.392099,203,233,159,1.40923266666667,27.010564,19.381153,14.427604,1102,781,735,5.167935,0.390606040217134
"ARHGAP24","Arhgap24",2.049793,1.763676,1.986697,159,124,121,1.93338866666667,5.819374,4.813198,3.518369,290,226,177,15.9947986666667,0.172605084896956
"ARHGAP25","Arhgap25",0.502021,0.539909,0.318031,41,45,18,0.453320333333333,0.836545,0.466984,0.318971,25,16,11,14.292893,0.0950324005623614
"ARHGAP26","Arhgap26",3.10331,4.244388,4.082209,595,585,517,3.809969,4.320729,3.152461,2.397244,523,360,256,10.6015023333333,0.414598804689289
"ARHGAP27","Arhgap27",1.582823,2.094886,3.375902,182,188,143,2.35120366666667,14.435459,4.164026,3.121233,251,206,176,12.0803663333333,0.256201055938826
"ARHGAP28","Arhgap28",0.200755,0.233397,0.928649,34,34,31,0.454267,1.63572,0.267258,0.080661,34,18,8,1.97124833333333,0.489446467225616
"ARHGAP29","Arhgap29",10.755616,9.027741,9.030748,996,768,635,9.60470166666667,1.297954,0.754768,0.375037,138,109,63,16.5218543333333,0.605227133208865
"ARHGAP30","Arhgap30",0.269421,0.383328,0.303757,42,55,34,0.318835333333333,0.103722,0.130513,0.183745,9,7,15,2.40454,0.387375484891743
"ARHGAP31","Arhgap31",2.944068,3.051665,3.153119,790,775,613,3.04961733333333,3.510671,1.942916,2.127402,540,392,357,6.179097,0.564084498835067
"ARHGAP32","Arhgap32",1.824515,1.980478,3.699766,228,179,211,2.50158633333333,1.263591,0.730049,0.428837,191,149,89,19.9706243333333,0.166975778959879
"ARHGAP33","Arhgap33",0.2586,0.144845,0.018203,8,12,2,0.140549333333333,15.428639,18.044921,28.876742,224,156,134,8.32647733333333,0.12229154616148
"ARHGAP35","Arhgap35",3.269683,3.690769,4.496929,895,896,828,3.819127,8.20203,5.896017,3.405649,1046,670,514,16.8764023333333,0.269580361313193
"ARHGAP36","Arhgap36",0.038369,0.012227,0,2,1,0,0.0168653333333333,0,0,0,0,0,0,7.90752533333333,0.114158006323941
"ARHGAP39","Arhgap39",1.068547,0.782271,1.167602,77,58,50,1.00614,1.447719,1.02085,0.504691,87,59,51,9.54117433333333,0.190314659122578
"ARHGAP40","Arhgap40",0,0,0,0,0,0,0,0.026582,0.056001,0.028401,1,2,1,0,1
"ARHGAP42","Arhgap42",0.896718,1.307231,0.852637,123,125,94,1.018862,7.802116,5.959035,3.959445,453,415,272,0,2.018862
"ARHGAP44","Arhgap44",2.086072,2.32546,2.660711,264,290,242,2.35741433333333,3.553347,1.977513,2.193818,255,173,192,0,3.35741433333333
"ARHGAP45","Arhgap45",0.507403,0.54867,0.577818,64,63,56,0.544630333333333,14.220411,8.674396,7.755531,404,223,212,15.2274343333333,0.0951863555017107
"ARHGAP5","Arhgap5",6.962635,6.789098,8.070603,1097,937,937,7.274112,21.677613,14.881773,7.314306,695,504,362,0.150707666666667,7.19045526477475
"ARHGAP6","Arhgap6",0.336095,0.393773,0.415974,46,52,44,0.381947333333333,1.711109,1.269867,0.620582,140,83,52,2.258382,0.424120724130361
"ARHGDIA","Arhgdia",16.044102,18.143622,18.263268,977,1050,791,17.483664,383.609496,411.112328,294.214347,1308,1195,1040,303.605318666667,0.0606807001299505
"ARHGDIB","Arhgdib",7.93762,7.912105,9.221843,131,131,112,8.35718933333333,7.150782,5.823247,3.179042,80,71,42,32.0219073333333,0.283363078906345
"ARHGDIG","Arhgdig",0.049389,0.052492,0.232686,1,1,3,0.111522333333333,0.841819,0.790903,0.249008,13,13,5,22.9511546666667,0.0464078809060618
"ARHGEF1","Arhgef1",7.581316,9.042427,5.806226,430,442,310,7.47665633333333,19.152081,24.109051,12.639203,358,310,233,9.13377666666667,0.836475542352917
"ARHGEF10","Arhgef10",1.22231,1.130422,1.770584,191,174,142,1.37443866666667,10.59223,6.165949,5.243051,528,350,271,0.823568,1.30208397310474
"ARHGEF10L","Arhgef10l",7.293635,7.451045,7.801193,537,465,460,7.515291,15.299234,10.789316,11.202753,857,607,514,4.32859866666667,1.59803571870928
"ARHGEF12","Arhgef12",12.658173,13.617127,14.183763,3324,3045,2501,13.4863543333333,11.471484,5.919132,4.923703,1807,1033,865,4.61943733333333,2.57790121573263
"ARHGEF15","Arhgef15",4.424898,5.147038,4.160907,512,449,348,4.57761433333333,0.644415,0.284891,2.379436,10,8,6,11.7930743333333,0.435987018288515
"ARHGEF16","Arhgef16",0.164002,0.1429,0.033655,8,6,2,0.113519,1.438795,1.130645,0.723421,82,48,37,4.24555833333333,0.212278451451784
"ARHGEF17","Arhgef17",4.550342,5.469328,6.35818,930,970,895,5.45928333333333,17.73546,12.038814,11.597008,1065,760,590,0.677529666666667,3.85047338457402
"ARHGEF18","Arhgef18",1.202916,1.334451,1.816647,208,189,162,1.451338,2.332669,1.705597,1.291836,172,151,114,1.17979733333333,1.12457151979878
"ARHGEF19","Arhgef19",4.312732,4.601801,6.166533,280,264,314,5.027022,0.395035,0.269574,0.148051,20,11,6,0.0431296666666667,5.7778262785483
"ARHGEF2","Arhgef2",9.282023,8.501936,5.654063,405,316,271,7.812674,40.329504,24.585269,20.082295,1035,706,639,0.0800706666666667,8.15934944997426
"ARHGEF25","Arhgef25",3.759372,3.475007,3.875532,130,99,97,3.70330366666667,1.520735,0.656131,1.422748,49,28,34,28.5906496666667,0.158945603413529
"ARHGEF28","Arhgef28",0.421431,0.600384,0.515872,75,82,67,0.512562333333333,0.414488,1.5429,0.120332,19,16,11,14.0943943333333,0.100206891375105
"ARHGEF3","Arhgef3",2.758184,3.533599,3.697738,317,385,310,3.32984033333333,8.107861,5.832022,4.371692,482,378,284,3.06498333333333,1.06515574069594
"ARHGEF33","Arhgef33",0.111708,0.133733,0,1,1,0,0.0818136666666667,0.31913,0.023414,0.011709,3,2,1,48.50333,0.0218533514142719
"ARHGEF37","Arhgef37",0.379347,0.519188,0.393599,67,68,53,0.430711333333333,1.907537,1.304464,1.262927,189,138,104,0.069899,1.3372396210608
"ARHGEF38","Arhgef38",0,0,0,0,0,0,0,0.46091,0,0.426061,2,0,2,0.218815666666667,0.820468613383429
"ARHGEF39","Arhgef39",0.091149,0.133194,0.479048,5,2,4,0.234463666666667,1.98267,1.500323,0.687268,66,52,38,20.3595513333333,0.0577944567936773
"ARHGEF4","Arhgef4",0.027133,0.11929,0.012777,3,3,1,0.0530666666666667,2.287564,2.357007,0.895995,66,58,53,54.190116,0.0190807112394304
"ARHGEF40","Arhgef40",11.567676,8.382459,7.422525,267,231,204,9.12422,5.535191,4.788572,4.566943,280,203,175,51.558358,0.192628163916384
"ARHGEF5","Arhgef5",1.956424,2.411927,1.995976,292,298,222,2.12144233333333,0.308726,0.223189,0.131406,16,12,9,1.421713,1.28893982620291
"ARHGEF6","Arhgef6",11.80243,11.087783,10.222089,731,621,548,11.037434,3.5125,2.331363,2.861663,356,234,283,8.24498933333333,1.30204952823454
"ARHGEF7","Arhgef7",22.002194,27.222303,24.995629,1156,1133,1025,24.740042,7.809685,6.022005,4.462326,679,516,452,0.0146813333333333,25.3676116376767
"ARHGEF9","Arhgef9",3.140761,5.540012,5.941875,242,226,204,4.874216,55.547352,39.068343,24.038552,1735,1288,1066,1.90329933333333,2.02328982497843
"ARID1A","Arid1a",2.033791,2.296245,2.591028,541,574,478,2.30702133333333,17.08426,12.191987,9.695236,1689,1198,948,9.889111,0.303699845959265
"ARID1B","Arid1b",1.417854,1.272616,1.884943,370,331,313,1.52513766666667,14.522768,8.668029,7.874172,623,422,335,8.826122,0.2569821203794
"ARID2","Arid2",1.358786,1.379959,1.345462,376,327,271,1.36140233333333,2.853226,3.14332,2.24012,273,224,164,2.462763,0.681941655647046
"ARID3A","Arid3a",0.133343,0.139407,0.329545,18,23,26,0.200765,10.037855,5.447497,4.877806,599,418,439,0.111090333333333,1.08070870925286
"ARID3B","Arid3b",1.211329,0.448091,1.567951,36,25,23,1.07579033333333,1.349293,2.205523,2.16239,91,89,77,7.91191466666667,0.232923048634816
"ARID3C","Arid3c",0,0.02469,0,0,1,0,0.00823,0,0.038251,0,0,1,0,7.90464533333333,0.113225172060006
"ARID4A","Arid4a",1.494711,1.438499,1.744138,220,181,172,1.559116,2.514387,2.562077,1.505055,137,90,68,9.459241,0.244675115527025
"ARID4B","Arid4b",1.64035,3.27042,2.293089,278,312,239,2.40128633333333,6.994003,4.314967,4.637519,268,215,170,3.43740066666667,0.766504219211818
"ARID5A","Arid5a",1.189674,1.575345,1.302098,74,71,64,1.35570566666667,5.682457,4.689754,3.627917,271,200,153,4.14783566666667,0.457610891101354
"ARID5B","Arid5b",1.444684,1.2121,1.190909,347,241,202,1.28256433333333,0.520482,0.473623,0.506183,72,74,72,7.73486866666667,0.261316388424233
"ARIH1","Arih1",10.001297,8.787211,8.125884,913,813,611,8.971464,68.663438,37.299621,44.134524,971,843,718,17.8758706666667,0.528265115611797
"ARIH2","Arih2",29.387354,31.780262,36.674851,426,447,357,32.6141556666667,52.94514,43.10661,35.182656,1382,1177,1039,0,33.6141556666667
"ARL1","Arl1",18.254344,19.17415,25.262669,891,766,768,20.8970543333333,30.566416,24.183252,22.355172,602,609,423,0.538017666666667,14.2371929841291
"ARL10","Arl10",1.350906,1.088094,0.736207,23,19,14,1.05840233333333,2.505681,1.791366,4.334956,179,102,79,42.8769873333333,0.0469130279546236
"ARL11","Arl11",0.030694,0.096685,0.188807,2,5,6,0.105395333333333,0.194238,0.164553,0.250099,14,12,18,8.948502,0.11111173655424
"ARL13A","Arl13a",0,0.022223,0.057265,0,1,2,0.026496,0,0.051039,0.190494,0,1,3,4.45041766666667,0.188333456769338
"ARL13B","Arl13b",1.179853,2.852546,1.946748,85,88,61,1.993049,1.605562,0.740954,0.527571,55,36,26,6.716117,0.387895751191953
"ARL14","Arl14",0,0,0,0,0,0,0,0.049263,0,0,1,0,0,0.0251853333333333,0.975433385052979
"ARL14EP","Arl14ep",1.32755,1.295534,1.344504,99,69,57,1.32252933333333,9.190757,4.455656,5.993461,171,187,147,1.251892,1.03136799337328
"ARL14EPL","Arl14epl",0.015312,0,0.004933,1,0,0,0.00674833333333333,0,0.11505,0,0,1,0,0.0552633333333333,0.954025693428812
"ARL15","Arl15",1.432917,1.385945,1.378197,120,114,93,1.39901966666667,2.608294,3.15126,1.624428,67,101,59,311.923327,0.00766647756709639
"ARL2","Arl2",9.665279,8.350796,10.134333,264,236,203,9.38346933333333,159.391591,156.097263,131.482969,559,522,432,19.2789633333333,0.512031565058635
"ARL2BP","Arl2bp",23.879605,25.193368,20.181064,650,668,533,23.084679,34.217459,20.273845,15.177699,649,629,555,5.54249933333333,3.6812657935311
"ARL3","Arl3",11.050991,12.166882,12.10977,260,266,205,11.775881,3.235115,3.029936,2.503172,262,238,194,7.04912933333333,1.58723763414908
"ARL4A","Arl4a",3.340504,3.72682,3.558977,164,175,136,3.54210033333333,2.354569,2.616526,2.472506,49,64,61,58.5207026666667,0.0763112686819311
"ARL4C","Arl4c",0.756898,0.652475,0.857423,94,81,75,0.755598666666667,0.214737,0.334698,0.174755,17,26,13,1.996326,0.58591710870802
"ARL4D","Arl4d",1.954824,2.431275,2.820174,82,96,84,2.402091,2.220978,2.120565,2.037794,70,64,61,0.268196333333333,2.68262169711367
"ARL5A","Arl5a",4.677428,3.542489,5.968292,595,555,513,4.729403,21.221679,15.171594,10.442864,410,438,316,0.0183996666666667,5.62588852641023
"ARL5B","Arl5b",2.579771,3.00927,3.014026,336,245,239,2.867689,2.260434,1.723844,1.450571,213,193,162,1.04120933333333,1.89480272152391
"ARL5C","Arl5c",0.094493,0.22506,0.288688,3,8,7,0.202747,0.154241,0.108051,0,1,1,0,4.62534633333333,0.21380852461884
"ARL6","Arl6",0.904476,1.834555,1.665695,31,43,35,1.468242,1.115904,1.328888,0.76444,22,25,28,0.00854833333333333,2.44732148021331
"ARL6IP1","Arl6ip1",5.24127,6.052339,6.789613,217,223,190,6.02774066666667,19.351628,15.387179,14.537492,477,518,379,14.2272816666667,0.461522996717843
"ARL6IP4","Arl6ip4",15.7583,23.689305,16.663035,112,133,108,18.7035466666667,99.933998,81.056194,79.798995,1082,885,862,33.2540723333333,0.575217640545844
"ARL6IP5","Arl6ip5",17.597675,20.022626,20.207962,749,793,619,19.2760876666667,103.029168,76.273448,70.519099,2149,1984,1746,0.546184,13.1136317971643
"ARL6IP6","Arl6ip6",3.21159,2.928473,3.171127,93,73,75,3.10373,2.01461,3.871191,0.951103,28,38,16,825.795029,0.00496341881126622
"ARL8A","Arl8a",4.698463,4.029714,3.674482,172,159,125,4.13421966666667,38.032158,34.04496,25.343045,456,356,356,198.039705666667,0.0257949520648156
"ARL8B","Arl8b",19.559707,20.941602,19.274489,1056,1017,791,19.925266,35.852755,27.943416,13.658376,506,570,373,4.962933,3.50922373268323
"ARMC1","Armc1",4.279315,4.548818,4.825055,510,504,412,4.55106266666667,7.205762,4.789116,4.487994,201,197,158,5.36560533333333,0.872040030128583
"ARMC10","Armc10",1.343408,1.312192,1.248968,89,73,53,1.30152266666667,7.568964,7.294079,6.15376,190,176,149,2.49276833333333,0.658939399072655
"ARMC12","Armc12",0,0,0,0,0,0,0,0.080091,0.191361,0.15719,2,2,3,5.02823366666667,0.165886071326255
"ARMC2","Armc2",2.773717,2.717045,2.839905,448,400,322,2.776889,3.063441,1.815502,1.792727,51,23,27,3.01504133333333,0.940684960985043
"ARMC3","Armc3",0.011534,0.012376,0.015998,1,1,1,0.0133026666666667,0,0,0,0,0,0,48.344405,0.0205353102680368
"ARMC5","Armc5",0.739087,0.794106,1.101056,97,106,101,0.878083,2.731069,1.852439,1.934904,144,86,83,20.5782486666667,0.0870359327585838
"ARMC6","Armc6",0.948647,1.159729,1.403847,48,36,47,1.170741,13.462765,9.42567,8.227283,289,192,149,31.303626,0.0671980600567874
"ARMC7","Armc7",0.370403,0.294819,0.388126,17,11,17,0.351116,2.34651,2.663844,2.732027,106,101,96,26.3257833333333,0.0494447307701457
"ARMC8","Armc8",2.346864,2.380693,2.45075,340,313,251,2.392769,95.318708,82.808012,51.804001,487,403,294,4.63422466666667,0.602171407908595
"ARMC9","Armc9",0.996104,0.552258,0.568457,44,40,22,0.705606333333333,3.441539,7.201543,5.759847,120,102,102,30.4832966666667,0.0541749598649612
"ARMCX1","Armcx1",2.696946,1.781451,0.715951,56,39,31,1.73144933333333,6.215697,6.203322,4.24019,236,243,163,18.2639413333333,0.141790783416007
"ARMCX2","Armcx2",0.814346,1.006319,1.206495,86,80,56,1.00905333333333,103.900685,37.514398,32.251417,509,404,316,0,2.00905333333333
"ARMCX3","Armcx3",2.489131,2.475101,2.491857,249,216,162,2.485363,30.931753,18.870963,18.139375,1105,1034,946,11.0315506666667,0.289685269718073
"ARMCX5","Armcx5",0.829562,0.81833,1.047937,72,66,67,0.898609666666667,1.884545,1.665906,1.377663,94,86,53,31.4268023333333,0.0585506288023651
"ARMCX6","Armcx6",0.142485,0.069028,0.317686,6,4,13,0.176399666666667,28.038198,18.012634,20.180178,358,231,247,0.0345936666666667,1.13706443850259
"ARMH3","Armh3",1.952717,2.026667,2.565995,234,226,219,2.181793,10.88082,10.671584,10.372707,322,278,240,16.2404766666667,0.18455365599907
"ARMH4","Armh4",1.345903,1.629593,1.660699,176,172,151,1.54539833333333,12.660213,7.027055,3.367498,225,164,132,0.118187666666667,2.27636058705709
"ARMT1","Armt1",1.642609,2.031087,0.954724,112,107,57,1.54280666666667,5.040297,4.95504,3.798842,168,178,146,79.664993,0.0315230507323873
"ARNT","Arnt",7.5279,5.588554,7.619567,512,404,368,6.912007,5.542768,3.793746,2.701318,415,290,246,3.46812866666667,1.77076525549175
"ARNT2","Arnt2",0.014401,0.051508,0.087767,3,7,2,0.0512253333333333,1.047731,0.586005,0.77047,143,82,76,4.34400466666667,0.196711155566606
